Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
DOGEUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-5.8732657580406356,1,0.0,19,2,3,5,9,13,20,37,50,12,37,5,2,6,True
DOGEUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-0.4765128463858903,2,50.0,18,1,2,5,10,24,31,49,70,12,39,5,5,7,False
DOGEUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.8497230615013063,2,50.0,17,2,5,9,9,21,24,43,50,12,37,5,2,15,True
DOGEUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.7322380919283509,6,83.33333333333334,19,1,3,4,7,20,33,41,180,18,38,1,4,17,True
DOGEUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,6.0425957901008465,5,80.0,16,4,6,5,7,15,15,27,170,16,39,5,2,6,True
DOGEUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,9.359169438756808,2,50.0,19,3,5,8,14,21,30,43,50,8,38,5,3,6,True
DOGEUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,5.986220292299516,3,66.66666666666666,19,2,5,3,5,17,24,29,140,12,35,5,7,11,True
DOGEUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-15.551077964685012,1,0.0,18,3,2,4,5,23,15,45,70,8,37,5,5,16,False
DOGEUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.5853752576183933,2,50.0,19,4,5,5,13,22,27,31,120,8,29,5,7,18,True
DOGEUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,3.7176168417138333,2,50.0,19,4,3,5,5,22,17,37,70,9,39,5,4,5,True
DOGEUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,4.119906389206007,3,66.66666666666666,18,1,4,4,5,24,17,45,70,8,34,3,7,16,False
DOGEUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-2.8364963461467774,2,50.0,13,4,6,9,5,17,27,29,60,17,34,5,2,5,True
DOGEUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,16,4,5,6,8,22,31,31,180,18,20,1,5,19,False
DOGEUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.325294720975422,1,100.0,8,4,7,6,14,17,24,33,70,15,29,4,2,19,True
DOGEUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.9374955542027053,4,100.0,16,3,2,7,6,21,29,39,120,12,24,1,2,6,True
DOGEUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-11.364860560061462,1,0.0,15,3,3,4,6,13,22,43,150,10,23,4,2,6,True
DOGEUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,2.716797773293589,2,100.0,19,1,2,4,6,11,26,27,140,15,23,3,4,6,True
DOGEUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,1.3504359325566373,4,100.0,17,1,5,4,6,13,19,39,50,15,24,1,2,14,False
DOGEUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.6793738163389138,3,66.66666666666666,12,2,6,6,11,20,19,43,140,19,37,2,5,5,False
DOGEUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-5.3846448067672465,1,0.0,19,3,3,3,13,15,22,35,190,18,27,1,5,8,False
DOGEUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,13,1,2,3,9,17,26,33,110,15,20,3,6,8,True
DOGEUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,1.6070161015854234,2,50.0,19,1,2,3,7,12,18,27,120,15,23,3,3,19,True
DOGEUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,1.7328221851344194,2,100.0,19,4,4,4,8,20,34,33,170,12,23,5,4,19,True
DOGEUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,8.41644831110029,5,100.0,17,1,3,6,6,13,30,29,50,11,35,4,3,8,True
