Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
DOGEUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,4.894280476360002,3,66.66666666666666,False,19,1,4,4,10,19,27,29,90,9,35,3,True
DOGEUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.9845060146399964,2,50.0,False,19,2,6,4,11,23,15,31,80,12,39,2,False
DOGEUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.40946808771997745,1,100.0,False,16,1,2,3,9,13,28,47,90,10,39,1,False
DOGEUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.173473869039987,3,100.0,False,19,3,3,7,8,10,17,49,90,7,29,2,True
DOGEUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,4.3985217528800025,2,100.0,False,19,1,4,3,10,22,28,31,100,15,37,2,False
DOGEUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,4.85509569988003,2,100.0,False,19,1,3,6,12,10,33,31,60,8,31,2,True
DOGEUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,4.609360241759997,2,50.0,False,18,3,3,7,5,23,31,33,50,10,39,5,True
DOGEUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-12.274008795080004,1,0.0,False,18,3,2,6,10,23,21,47,70,10,38,5,True
DOGEUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,7.555570987200011,1,100.0,False,19,1,2,8,12,12,21,25,60,13,39,5,True
DOGEUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.7863067686400003,2,50.0,False,16,1,3,6,5,23,24,39,70,7,38,5,False
DOGEUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.19300430735997853,2,50.0,False,18,3,4,6,5,11,20,29,50,12,38,4,False
DOGEUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-7.312741812239998,1,0.0,False,13,4,2,5,5,21,25,43,50,8,26,1,True
DOGEUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.5156918929200014,4,100.0,False,18,3,5,6,11,13,24,29,130,8,30,1,True
DOGEUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.23168494080001434,1,100.0,False,17,2,2,5,10,24,30,39,140,14,30,1,False
DOGEUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.1869041607999833,1,100.0,False,19,4,4,3,8,19,30,39,90,11,27,1,False
DOGEUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,2.3841104877200037,2,100.0,False,18,4,4,4,7,21,30,37,110,15,39,1,True
DOGEUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,False,14,4,5,5,10,23,24,25,110,18,21,1,True
DOGEUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.19480523040000808,1,100.0,False,17,4,4,6,5,20,28,29,170,10,22,1,True
DOGEUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.432315827999985,1,100.0,False,19,4,7,8,6,12,21,35,50,16,25,2,True
DOGEUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.8526387369200306,1,100.0,False,11,1,7,4,10,22,20,35,80,14,24,3,False
DOGEUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,False,19,1,3,4,11,13,25,33,180,18,28,2,False
DOGEUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-0.15736209760001119,1,0.0,False,18,1,2,6,12,22,24,45,150,10,26,5,True
DOGEUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.5176725225599865,1,100.0,False,18,1,4,3,7,21,18,31,110,16,37,1,True
DOGEUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,4.94426677587998,2,100.0,False,16,2,2,4,7,18,24,33,50,8,30,4,True
DOGEUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-0.8937294271999963,3,66.66666666666666,False,19,1,3,3,8,17,27,39,50,12,39,5,True
DOGEUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,2.9197644553599966,2,100.0,False,16,1,4,4,13,12,17,29,120,9,34,5,True
DOGEUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,1.6778738513200109,2,50.0,False,12,3,7,6,6,20,19,49,50,10,34,2,True
DOGEUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,3.1404299739199892,4,75.0,False,19,2,7,5,11,13,21,25,50,11,33,2,False
DOGEUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-13.869913486879993,1,0.0,False,12,2,7,3,7,11,15,47,70,15,36,2,False
DOGEUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.22907205904001415,1,0.0,False,19,3,2,5,8,22,24,39,80,13,28,4,True
DOGEUSDT,1H,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,-1.2500783286000128,1,0.0,False,19,4,5,9,7,13,32,35,120,18,26,4,True
DOGEUSDT,1H,32,2024-12-16,2025-03-10,2025-03-10,2025-03-24,0.0,0,0,False,15,3,4,8,10,21,25,37,70,17,25,2,False
