Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
DOTUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-4.757375630024074,1,0.0,19,3,4,3,9,10,22,41,50,15,34,5,5,17,False
DOTUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-4.997061881169717,1,0.0,19,2,2,3,8,14,26,45,130,18,33,5,3,5,True
DOTUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.62405410953974,2,50.0,15,4,3,3,7,13,26,41,140,16,31,4,7,16,False
DOTUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,4.586423667985806,4,100.0,16,4,5,3,7,10,34,31,150,8,28,5,2,18,False
DOTUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,3.090397638860276,4,75.0,17,2,2,4,8,21,19,29,180,9,23,3,3,11,True
DOTUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-1.8180586924342101,6,83.33333333333334,19,3,5,5,5,16,22,25,80,15,34,4,2,6,False
DOTUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-7.104345887374308,1,0.0,16,2,3,5,5,10,24,49,70,7,37,5,6,14,True
DOTUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-10.217153029700388,1,0.0,14,2,2,8,8,18,15,45,70,8,32,5,6,9,False
DOTUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.9854933073470526,1,0.0,18,2,5,3,10,22,33,41,70,10,36,4,5,6,True
DOTUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,3.299357561150895,1,0.0,17,4,4,4,7,19,22,39,60,8,31,5,4,7,False
DOTUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.8753769096994768,1,0.0,17,4,4,7,6,10,34,33,180,10,35,5,7,10,False
DOTUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.047782269074072,2,50.0,16,4,4,4,5,22,32,47,80,18,38,3,2,10,True
DOTUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,6,3,7,9,5,20,30,25,160,20,22,2,2,9,False
DOTUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,4.277893622644835,1,100.0,19,2,2,7,6,20,30,49,150,17,23,5,3,7,False
DOTUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.8771705003861383,2,100.0,19,2,3,3,7,19,31,31,70,13,20,3,6,5,True
DOTUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,3.0066084069402255,4,75.0,19,1,4,4,10,22,29,47,170,15,25,2,7,10,True
DOTUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.5289499883476934,1,100.0,17,2,6,9,5,11,26,43,180,20,26,5,3,8,False
DOTUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-1.121448066492703,1,0.0,19,1,2,3,14,24,32,39,170,15,24,3,6,8,True
DOTUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,3.0719372645998666,2,100.0,18,3,3,3,10,10,31,41,190,15,25,4,2,9,False
DOTUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-1.5019718506533497,3,66.66666666666666,19,3,2,3,6,17,26,39,190,14,24,1,7,9,True
DOTUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.6208403486606784,2,100.0,14,3,2,9,6,17,25,41,90,16,26,5,2,19,False
DOTUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.31930686069949754,3,66.66666666666666,16,4,5,7,10,17,15,35,150,16,26,2,4,9,True
DOTUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,17,4,2,4,12,21,21,39,100,12,21,5,2,17,False
DOTUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,5.848543859528066,8,100.0,16,2,2,6,5,12,19,31,170,8,37,5,2,8,True
