Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
DOTUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,3.7774925039999685,2,50.0,False,19,2,2,5,12,15,27,39,50,10,34,4,True
DOTUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-2.515591015999996,1,0.0,False,18,3,3,3,8,15,33,47,50,15,39,3,False
DOTUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.792422368000012,2,100.0,False,19,3,4,4,14,14,15,49,110,8,33,2,True
DOTUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.5652437119999751,1,100.0,False,17,2,6,6,10,17,22,43,160,9,30,4,False
DOTUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.5319359280000269,2,50.0,False,19,4,2,7,12,10,20,43,80,16,36,3,False
DOTUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-1.5081826320000102,1,0.0,False,16,4,6,3,11,13,33,31,50,15,38,3,False
DOTUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-5.255569503999991,1,0.0,False,17,2,3,3,13,22,23,35,120,7,30,3,True
DOTUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,2.306375943999983,1,0.0,False,19,3,2,3,7,22,33,29,120,19,36,3,False
DOTUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,5.111253616,2,100.0,False,19,2,3,4,11,12,25,37,70,15,37,4,False
DOTUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.1281606279999856,2,50.0,False,15,4,3,6,12,11,17,31,90,13,35,1,True
DOTUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.14814201600001908,1,0.0,False,14,4,4,3,7,16,23,31,120,11,21,5,True
DOTUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.2087938159999876,1,0.0,False,11,2,7,6,5,19,27,27,50,16,26,5,False
DOTUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,False,17,2,6,3,12,16,31,41,170,17,27,3,True
DOTUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,1.4084780959999987,2,100.0,False,18,4,3,3,11,12,20,27,130,10,27,2,False
DOTUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-2.092740840000007,1,0.0,False,19,1,5,9,11,14,30,27,180,16,32,2,True
DOTUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-7.196163907999997,1,0.0,False,16,3,2,6,9,14,32,49,50,12,29,2,False
DOTUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,False,13,3,2,4,5,11,18,27,80,17,22,3,True
DOTUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.31933483199999557,2,100.0,False,12,2,3,6,14,15,24,29,50,8,20,1,True
DOTUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.5768803240000295,1,0.0,False,16,3,3,6,10,15,23,37,80,12,35,3,False
DOTUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.0027839160000163,1,0.0,False,10,3,3,4,14,10,23,37,60,17,22,2,False
DOTUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,False,11,1,5,5,6,14,22,41,60,17,21,4,True
DOTUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-0.4615655760000337,3,66.66666666666666,False,13,2,4,4,5,20,19,45,80,8,22,1,False
DOTUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,False,8,3,6,3,10,10,21,39,100,20,31,1,True
DOTUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,3.6665861760000196,2,100.0,False,17,2,6,5,10,16,26,45,70,11,34,2,True
DOTUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-5.715290091999991,1,0.0,False,19,2,2,3,7,23,27,37,50,8,38,5,False
DOTUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-11.25829126400002,1,0.0,False,19,3,3,6,6,20,19,43,60,7,37,5,False
DOTUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-1.0933341520000028,1,0.0,False,18,1,5,9,7,12,25,39,90,11,31,2,False
DOTUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,0.9201453800000037,3,100.0,False,18,4,3,4,12,18,16,35,80,8,25,1,True
DOTUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-14.314909384000018,1,0.0,False,16,3,3,3,8,10,18,47,80,19,35,1,False
DOTUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,False,19,3,7,7,8,24,20,35,100,17,29,1,False
DOTUSDT,1H,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,2.600881848000025,3,66.66666666666666,False,14,4,4,4,13,20,22,35,70,8,22,1,False
DOTUSDT,1H,32,2024-12-16,2025-03-10,2025-03-10,2025-03-24,0.0,0,0,False,13,4,4,4,8,22,28,45,100,9,37,2,False
