Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
EOSUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,2.9384241160000046,2,100.0,False,19,2,2,4,8,12,30,27,50,8,30,2,True
EOSUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.4007018759999879,3,66.66666666666666,False,18,3,7,4,5,20,21,37,60,16,37,3,True
EOSUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,2.084910655999983,4,100.0,False,19,4,2,3,12,15,31,29,70,7,37,2,True
EOSUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-1.3025178719999864,3,66.66666666666666,False,19,2,6,5,14,11,24,49,70,7,39,2,True
EOSUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,1.5375921079999744,1,100.0,False,12,3,2,5,11,11,26,41,120,14,37,2,False
EOSUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.09514300399998676,2,50.0,False,19,1,3,5,12,24,19,29,70,7,34,3,False
EOSUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,3.201690124000023,8,100.0,False,15,1,2,3,9,12,31,43,90,9,39,1,False
EOSUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,2.786170195999982,1,0.0,False,12,3,4,7,11,17,19,37,50,10,25,4,False
EOSUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,3.985487720000025,2,50.0,False,13,3,3,4,10,14,34,41,70,11,25,4,True
EOSUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.9642894719999795,2,50.0,False,18,2,2,9,11,16,21,39,80,17,33,4,True
EOSUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.9419655159999882,1,0.0,False,14,3,3,3,14,16,25,35,160,18,35,3,False
EOSUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.8720449680000186,3,66.66666666666666,False,15,1,2,6,6,19,20,31,50,9,38,1,False
EOSUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.659224820000028,1,100.0,False,18,1,2,7,11,17,24,37,70,13,37,2,True
EOSUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.0501764480000064,5,80.0,False,5,1,4,6,10,21,17,49,50,8,31,2,False
EOSUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-1.0272371360000032,1,0.0,False,18,3,5,4,9,21,21,45,50,19,33,1,False
EOSUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,False,5,3,6,3,9,24,16,27,90,17,20,1,False
EOSUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.20086768799998378,1,100.0,False,16,4,3,8,5,13,30,33,140,13,23,1,True
EOSUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.3832036199999944,1,100.0,False,17,3,3,7,14,18,29,31,140,17,38,2,True
EOSUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-4.888671048000015,2,50.0,False,13,4,2,4,7,10,23,37,100,11,34,2,False
EOSUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,False,19,1,3,4,7,20,21,49,100,14,27,2,True
EOSUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-0.7245154679999866,2,50.0,False,18,1,5,8,13,10,29,39,120,7,21,3,True
EOSUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,False,19,1,6,5,6,16,15,27,150,20,25,4,True
EOSUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,4.612414175999979,3,100.0,False,18,1,6,5,6,15,19,39,60,10,38,3,False
EOSUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-10.379505064000028,2,50.0,False,19,3,2,4,11,10,34,35,60,10,37,5,False
EOSUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,2.608553448000017,2,50.0,False,14,4,3,4,14,21,30,41,100,12,29,2,True
EOSUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,1.524877788000012,1,0.0,False,18,4,3,3,7,11,20,35,60,19,29,1,False
EOSUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,0.0,0,0,False,19,2,2,8,10,16,26,47,60,19,29,1,True
EOSUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,0.18046112399998648,1,0.0,False,17,3,3,5,10,16,17,39,150,9,21,2,True
EOSUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,False,13,1,5,3,10,18,24,31,140,18,28,2,True
EOSUSDT,1H,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,-1.8209034360000098,1,0.0,False,18,1,2,5,14,14,29,47,110,17,28,1,True
EOSUSDT,1H,32,2024-12-16,2025-03-10,2025-03-10,2025-03-24,0.10570673999998892,1,100.0,False,11,2,3,4,11,16,33,37,70,12,25,1,False
