Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
EOSUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-9.263511815506643,1,0.0,19,1,2,3,5,17,26,49,50,13,36,5,5,12,True
EOSUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-4.633541546134545,1,0.0,18,1,3,5,6,19,27,35,50,11,39,4,4,8,True
EOSUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.5212172662006473,2,50.0,16,1,4,3,6,13,16,27,180,11,34,4,5,7,True
EOSUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,2.3602391528859235,4,100.0,17,2,4,3,10,14,21,35,170,9,38,2,3,11,True
EOSUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,2.463687628457234,6,83.33333333333334,18,2,4,4,9,13,33,43,80,7,35,1,6,17,True
EOSUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,1.2412328309077125,2,50.0,19,1,3,3,5,21,26,39,180,12,37,5,2,9,False
EOSUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.8773553712805304,3,66.66666666666666,19,1,3,3,7,15,20,27,100,9,31,3,7,17,False
EOSUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-5.91249181222765,1,0.0,17,1,5,3,11,11,27,25,150,10,38,5,2,19,True
EOSUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,2.8780724244869216,3,100.0,14,3,3,3,7,17,16,49,180,9,34,5,3,18,True
EOSUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.2744839010413234,2,50.0,11,2,3,9,6,16,16,45,120,17,35,5,5,15,True
EOSUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.006693286651371366,2,50.0,17,3,3,4,14,17,33,37,130,9,31,3,2,16,True
EOSUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-6.933035637500851,1,0.0,15,1,3,8,6,24,28,33,190,8,37,5,3,17,False
EOSUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,3.2391640665856647,4,75.0,15,4,3,9,9,21,33,39,80,17,38,5,2,10,False
EOSUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,1.1270797814186606,2,100.0,13,1,5,9,11,19,25,43,90,19,37,1,6,13,False
EOSUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.598800647863352,7,85.71428571428571,17,2,2,7,5,10,17,39,80,13,35,1,5,8,True
EOSUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-3.269672151522096,1,0.0,8,3,2,5,5,10,24,29,180,8,31,4,6,19,False
EOSUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.5573401315263959,4,75.0,5,2,3,3,11,10,25,39,100,8,33,2,7,10,True
EOSUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,10,4,4,4,6,20,33,43,100,18,21,1,4,18,False
EOSUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.6126479338843138,1,100.0,19,4,5,8,8,22,27,47,90,13,25,3,3,11,True
EOSUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-3.9422500855106013,1,0.0,12,3,4,4,5,15,26,41,180,10,29,5,5,17,True
EOSUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.6961781230815145,2,100.0,17,4,2,7,8,18,22,35,180,13,29,5,2,15,True
EOSUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-2.2520016889737926,2,50.0,18,3,4,7,10,21,34,35,170,18,35,1,7,15,True
EOSUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,18,4,5,4,5,19,32,39,70,14,21,4,4,5,False
EOSUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,4.950091428788839,4,100.0,13,1,2,3,12,12,28,47,60,7,33,3,4,18,False
