Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
ETHUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,1.1068939680081602,2,50.0,19,1,2,8,9,23,31,45,70,11,38,2,3,15,True
ETHUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-4.825254238628207,1,0.0,19,3,3,3,14,15,16,37,90,14,38,5,4,15,True
ETHUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.7800493249675355,2,100.0,19,1,5,3,11,20,30,47,70,11,39,5,2,9,True
ETHUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.6310955599381227,2,100.0,19,1,7,5,14,13,32,45,50,14,39,5,2,19,True
ETHUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.0,0,0,18,1,2,4,7,23,25,37,120,7,39,5,2,5,True
ETHUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-8.225589755210239,1,0.0,19,2,2,9,10,14,19,37,50,8,31,4,6,19,False
ETHUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.0849251222430745,3,66.66666666666666,18,1,4,9,13,14,21,49,60,11,34,1,3,14,False
ETHUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,4.027143998233562,1,0.0,16,3,2,5,8,12,23,35,60,11,23,4,7,6,False
ETHUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.078911471034738,2,100.0,19,3,3,4,10,16,20,27,70,10,23,1,5,9,True
ETHUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.043320796868219,1,100.0,19,1,2,3,12,24,18,47,100,8,20,4,2,5,True
ETHUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,15,2,5,6,12,24,15,37,100,15,27,4,6,19,False
ETHUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.42162765390479,1,0.0,18,3,4,5,7,14,24,33,160,9,34,5,2,18,False
ETHUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.7492103785041282,1,0.0,18,2,5,9,8,19,33,27,130,9,26,2,4,17,True
ETHUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.5895073964907978,1,0.0,18,3,2,6,5,21,31,47,50,13,37,3,2,10,True
ETHUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.5936232786034834,1,0.0,19,1,6,9,6,11,30,45,90,10,39,4,4,19,True
ETHUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,1.0120388544954118,3,100.0,19,4,5,3,13,20,16,35,170,7,36,1,4,14,True
ETHUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,12,2,3,9,6,17,23,45,80,15,21,4,3,18,False
ETHUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.3472690184118443,1,100.0,17,1,2,8,5,10,25,37,60,19,24,3,2,18,True
ETHUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.6209090742494316,1,100.0,16,3,2,6,8,10,29,39,110,17,23,5,3,11,False
ETHUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,2.9221663291331135,1,0.0,17,3,6,5,5,17,33,37,70,16,23,3,6,6,False
ETHUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,17,4,5,5,6,17,25,41,90,17,23,5,4,9,False
ETHUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-0.6977036578660445,1,0.0,19,1,6,7,11,13,15,31,180,8,27,3,7,11,True
ETHUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.6988261395447948,2,50.0,19,3,7,6,9,21,16,31,160,10,32,5,3,6,False
ETHUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.8459728989353765,2,100.0,19,3,3,4,10,17,15,33,90,7,37,4,2,18,True
