Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
ETHUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,4.4976851252824135,6,83.33333333333334,19,2,2,7,13,23,33,27,50,17,37,5,2,9,True
ETHUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-5.103583208575113,1,0.0,19,2,2,3,14,20,27,41,180,19,38,5,4,15,False
ETHUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.6947787350263699,1,100.0,19,2,3,5,8,19,18,31,60,17,39,5,4,13,True
ETHUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,2.6757005313748916,6,100.0,17,3,2,3,10,21,17,37,60,7,38,5,2,13,True
ETHUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,2.975663229712988,4,75.0,19,1,6,5,6,20,32,41,50,13,34,5,2,5,False
ETHUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-7.012404981211873,1,0.0,19,1,6,6,14,11,28,49,50,8,38,5,4,8,False
ETHUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.024094937005247896,1,0.0,19,1,3,6,12,23,24,25,60,17,38,3,6,6,False
ETHUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,2.3916207242993037,1,0.0,18,1,3,4,11,21,28,33,170,15,25,4,7,14,False
ETHUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.7485444486946333,2,100.0,14,3,3,6,11,16,22,37,60,16,26,3,2,6,True
ETHUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.2758295046540793,1,100.0,13,3,3,3,7,23,25,33,100,15,25,2,6,17,False
ETHUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,15,3,6,3,9,22,25,35,170,18,25,5,3,18,False
ETHUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.138910869030508,1,0.0,18,1,6,3,5,21,21,33,90,15,25,3,2,16,True
ETHUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.2784416697711789,2,50.0,11,1,5,9,8,11,26,39,160,13,36,1,7,9,True
ETHUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,1.7769341559217722,1,0.0,18,2,7,9,9,21,30,33,100,13,37,1,5,18,False
ETHUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.490214666248856,1,0.0,18,4,6,9,10,10,19,33,80,10,27,5,7,14,False
ETHUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-10.649559211118797,1,0.0,12,2,6,6,9,13,30,43,130,15,37,2,7,13,False
ETHUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,8,4,5,7,13,24,34,39,50,16,21,4,3,19,True
ETHUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.21996831808792638,1,0.0,5,4,6,6,14,12,25,45,150,16,22,1,2,6,False
ETHUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.9883792397888724,1,100.0,13,4,2,9,10,17,28,41,90,20,24,2,5,8,False
ETHUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.8434427102910202,1,0.0,17,1,2,9,5,11,17,31,130,17,20,4,3,6,False
ETHUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,13,4,6,8,7,12,30,25,90,18,21,5,5,16,False
ETHUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,3.0882351496273053,1,100.0,18,3,3,6,7,21,20,35,60,18,21,4,4,10,False
ETHUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,1.6499603417827968,3,100.0,13,3,5,7,10,16,23,45,130,13,27,5,2,10,True
ETHUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.9189189253812513,2,100.0,19,2,4,4,6,16,29,27,120,11,28,5,2,7,False
