Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
FILUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,1.6035673607676992,3,66.66666666666666,18,2,6,5,5,22,17,49,100,9,39,4,3,10,False
FILUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-5.289107037343744,1,0.0,18,1,2,4,13,19,34,47,50,12,33,4,6,7,True
FILUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,6.829779843269823,5,80.0,18,4,2,4,5,20,16,27,130,9,25,4,2,16,True
FILUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,2.8992440893848004,4,100.0,19,3,2,5,6,23,28,43,100,10,22,3,5,9,True
FILUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,13.740769508761886,5,80.0,17,1,6,5,5,16,21,43,100,7,29,5,5,8,False
FILUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-1.3946376615508793,1,0.0,16,1,5,6,5,12,26,25,110,12,34,3,5,6,True
FILUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-4.463887992514359,2,50.0,16,1,3,3,6,16,23,43,130,16,30,4,2,19,True
FILUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-22.835235786635444,1,0.0,17,2,5,3,6,16,33,27,70,14,33,5,2,8,True
FILUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-2.6261557405528935,1,0.0,18,3,6,7,7,17,22,47,110,9,36,5,3,5,True
FILUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-3.533974930206607,1,0.0,17,2,2,3,10,24,33,35,80,7,25,4,5,10,False
FILUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,3.4503230412167296,3,66.66666666666666,15,4,3,8,9,19,27,35,50,7,31,3,2,19,False
FILUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-0.4746053175503029,1,0.0,7,4,2,7,9,10,28,35,140,17,20,3,7,15,False
FILUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,3.438344890291223,2,100.0,17,2,6,7,8,23,34,43,60,18,21,5,5,18,True
FILUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.2631778480257445,2,100.0,17,4,4,7,8,13,17,45,140,19,21,1,7,12,False
FILUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,6.254865014665967,3,66.66666666666666,14,2,2,7,7,10,27,31,50,19,30,4,4,12,False
FILUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-0.6480213123075007,2,50.0,19,3,4,5,7,19,33,25,170,19,20,2,4,11,True
FILUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.801245352259472,2,100.0,19,1,4,4,9,10,34,35,100,17,24,5,2,15,True
FILUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.0726954977167793,2,50.0,14,3,6,6,10,19,21,39,180,17,28,3,2,13,True
FILUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,5.289140304714879,2,100.0,19,3,3,3,5,15,33,41,50,17,26,4,7,14,True
FILUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.9693024017328309,1,0.0,16,1,5,3,8,10,34,29,150,13,23,4,2,10,False
FILUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.7808046077395279,1,100.0,19,2,4,3,10,20,20,25,80,19,29,5,4,12,True
FILUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.7166526088843161,3,66.66666666666666,19,4,4,3,9,15,32,33,120,15,23,3,2,10,True
FILUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.34556232686979715,1,100.0,18,1,2,6,11,10,31,35,80,20,28,5,2,8,True
FILUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,4.778964978721034,4,100.0,16,1,5,6,7,10,19,39,120,7,20,5,3,14,True
