Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
FILUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,3.0679874559999654,1,0.0,False,17,3,3,4,13,17,18,31,70,7,29,5,False
FILUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.8487210319999994,1,0.0,False,19,1,7,5,7,20,25,47,70,9,34,5,False
FILUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,3.660919695999998,2,50.0,False,18,3,5,5,5,13,24,49,50,16,36,3,False
FILUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.9254259800000062,1,100.0,False,19,4,4,8,12,10,27,41,60,9,32,3,False
FILUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.8083519439999964,3,66.66666666666666,False,17,2,7,5,6,16,24,35,50,9,39,3,True
FILUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-11.223287027999994,1,0.0,False,19,2,4,4,5,20,18,37,50,7,30,2,False
FILUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.01174971200001984,3,66.66666666666666,False,17,4,3,3,12,12,24,29,60,11,31,3,True
FILUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-7.65117354399999,1,0.0,False,19,1,2,6,9,11,30,43,80,13,31,1,True
FILUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,4.651336244000004,2,100.0,False,19,2,2,5,9,19,27,31,90,7,25,3,False
FILUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,2.4151404400000187,2,50.0,False,16,3,2,4,6,10,23,43,70,11,28,4,True
FILUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,False,6,1,3,3,7,17,27,47,60,16,25,2,False
