Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
ICPUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,4.6158231319999965,1,0.0,False,19,4,2,4,12,17,26,31,50,8,29,5,True
ICPUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,7.044902888000015,1,100.0,False,19,2,4,4,10,12,24,27,100,8,36,5,True
ICPUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,7.896154548000012,3,66.66666666666666,False,18,4,3,5,5,12,24,45,50,11,38,4,True
ICPUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-4.045888884000037,3,66.66666666666666,False,19,3,2,8,11,19,27,29,50,9,37,4,False
ICPUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-0.7453303000000022,1,0.0,False,18,2,3,7,12,12,18,27,150,8,36,5,False
ICPUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,6.34133107999999,1,100.0,False,18,2,4,3,9,19,25,35,190,8,38,5,False
ICPUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,3.594548972,3,66.66666666666666,False,19,2,7,3,7,10,21,31,110,16,38,5,True
ICPUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,1.7528840039999993,1,0.0,False,17,3,2,8,5,15,17,43,70,8,38,5,True
ICPUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,2.4994831639999937,1,0.0,False,18,1,2,3,5,17,19,27,100,11,37,5,True
ICPUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,2.381956384000028,1,100.0,False,7,4,2,4,9,10,25,41,110,12,36,3,True
ICPUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-3.0275666079999763,1,0.0,False,11,1,5,7,11,17,33,49,50,9,39,5,True
ICPUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-0.6557575520000136,2,50.0,False,16,3,4,4,9,12,19,49,100,8,36,3,False
ICPUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,False,11,2,2,9,5,17,15,31,150,19,27,1,False
ICPUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.4380459200000075,1,100.0,False,8,3,4,9,7,12,30,31,100,14,23,4,True
ICPUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,False,10,4,5,7,11,17,25,29,190,14,23,4,False
ICPUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-2.582834064000017,1,0.0,False,10,2,7,8,7,10,22,47,100,18,39,1,True
ICPUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,False,18,3,3,4,8,12,15,43,150,14,25,1,False
ICPUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,2.3592742480000206,5,100.0,False,14,2,2,5,5,13,24,35,140,10,33,1,True
ICPUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.7794264840000009,1,100.0,False,18,2,4,6,10,15,27,49,160,14,36,1,False
ICPUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.8404537559999925,1,0.0,False,16,1,4,9,6,14,28,41,80,7,22,1,False
