Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
ICPUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,9.217224202156093,6,83.33333333333334,18,3,4,6,6,24,28,39,60,13,39,5,5,19,True
ICPUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,4.642953501021907,2,50.0,19,1,3,9,10,24,21,41,60,11,36,5,5,12,False
ICPUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,7.9832418935097404,3,66.66666666666666,17,1,2,3,8,12,34,29,100,16,39,5,4,10,False
ICPUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.38990089873158773,3,66.66666666666666,17,3,2,3,10,13,19,35,90,9,36,5,6,17,True
ICPUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,8.053584376459666,6,83.33333333333334,19,4,2,4,7,14,24,35,110,9,31,5,6,9,True
ICPUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,2.452312859794681,1,100.0,18,1,2,8,13,16,25,29,60,7,37,4,5,5,True
ICPUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,2.7609161328679965,1,0.0,16,4,2,4,5,11,30,47,50,13,33,5,7,16,False
ICPUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,6.84391295971194,1,100.0,17,3,3,3,5,19,29,39,180,8,34,4,4,16,False
ICPUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-3.807316711603148,1,0.0,19,1,3,8,6,17,15,43,80,7,30,3,4,9,True
ICPUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,2.012231793755337,2,50.0,19,4,4,5,13,18,15,27,70,10,34,4,6,10,True
ICPUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.22104650595110575,1,0.0,17,3,3,4,13,22,32,41,180,9,31,4,5,11,True
ICPUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-1.713508550726306,2,50.0,13,1,7,8,13,14,21,45,120,18,38,3,5,9,True
ICPUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.540127957398262,1,100.0,17,3,7,7,8,11,18,49,60,18,24,5,3,16,True
ICPUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.0976324895957354,1,100.0,16,2,5,6,9,14,16,49,150,14,23,1,7,16,False
ICPUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.8851771877072201,1,100.0,14,3,3,9,7,12,27,33,160,16,25,1,6,5,False
ICPUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,2.650643368712746,4,75.0,11,3,3,7,10,15,22,27,60,20,28,3,2,17,False
ICPUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,13,3,3,4,14,20,25,41,80,17,26,1,7,18,False
ICPUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.17633841594826283,1,100.0,11,3,3,4,12,12,19,37,80,16,25,1,2,15,False
ICPUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.4291239546572632,1,100.0,18,3,2,5,13,11,20,31,80,18,34,1,4,5,False
ICPUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,3.057936789823512,1,100.0,16,4,2,4,5,14,33,29,90,8,23,3,2,19,True
ICPUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.367938892436781,2,100.0,17,4,3,3,14,13,22,31,80,18,34,1,7,9,True
ICPUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-1.3494413011533424,1,0.0,14,4,4,5,5,18,22,45,80,10,29,5,2,12,False
ICPUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.5496962098106906,3,66.66666666666666,19,4,2,6,5,20,27,35,80,12,29,5,2,16,False
ICPUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,5.727669166856919,2,100.0,19,2,2,3,13,10,31,33,50,14,30,4,4,8,True
