Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
INJUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,6.196710789292981,7,85.71428571428571,19,2,6,6,6,14,19,25,60,8,37,5,4,19,False
INJUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-2.744981094001997,3,66.66666666666666,17,2,2,3,10,12,30,41,50,12,36,5,3,12,True
INJUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.3296891055589075,1,100.0,17,4,2,5,6,12,30,35,70,16,35,5,5,15,True
INJUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.3434734316615238,2,50.0,19,3,7,4,10,23,27,35,120,14,37,4,6,9,True
INJUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.928191663331519,7,85.71428571428571,18,2,7,9,9,10,30,31,120,11,36,5,6,12,True
INJUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.668412135375096,4,75.0,16,4,3,7,5,15,18,45,130,10,34,5,4,19,True
INJUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-1.2846100470390365,2,50.0,16,3,3,9,10,14,26,31,90,7,33,5,2,7,True
INJUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-15.269359522862436,1,0.0,19,2,3,8,5,13,33,33,70,14,28,5,2,6,True
INJUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-6.75430217533145,1,0.0,19,3,2,4,8,14,24,33,160,10,22,4,5,12,False
INJUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.32786812892871,1,100.0,7,3,4,3,7,10,33,39,120,12,23,4,6,16,True
INJUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,13,3,4,6,10,13,27,33,120,16,23,1,3,9,True
INJUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,5.643207929335214,4,100.0,13,3,6,5,6,22,25,31,110,12,23,5,4,13,True
INJUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.3928114858257965,4,100.0,14,2,5,3,12,22,24,49,100,12,21,3,5,11,True
INJUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.6137059277048236,1,100.0,15,4,7,6,13,21,26,45,170,16,29,5,3,12,True
INJUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.4202722205471696,4,100.0,15,4,2,5,8,17,33,47,120,12,22,4,2,14,False
INJUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-21.967566361276603,1,0.0,16,2,2,9,12,14,34,37,60,13,27,5,2,8,True
INJUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,3.510270771150892,5,100.0,14,2,2,5,7,24,25,37,50,17,32,2,5,8,True
INJUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-3.8716652734349877,1,0.0,10,4,2,3,7,13,20,47,120,20,30,5,4,5,True
INJUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,2.194466747301127,2,100.0,12,3,6,9,9,23,31,31,50,19,28,5,6,5,True
INJUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.8127610287465892,4,100.0,12,2,7,5,9,16,31,29,50,20,32,1,6,11,False
INJUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,2.8467933660216937,4,100.0,18,4,7,7,5,24,33,29,170,19,33,1,2,15,True
INJUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-10.445984289403876,1,0.0,16,3,3,3,9,18,31,27,130,17,37,5,3,10,True
INJUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,9.710691384214254,9,88.88888888888889,17,4,4,8,13,23,21,39,60,10,31,5,4,9,False
INJUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,18.82881472075699,7,85.71428571428571,19,1,2,5,12,13,26,31,90,12,32,5,3,6,False
