Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
INJUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,12.63150170295666,4,75.0,19,2,3,4,10,14,33,25,60,11,36,4,7,12,False
INJUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,4.1196253496113,2,100.0,19,3,2,6,5,18,28,33,70,7,29,5,3,17,True
INJUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,4.195546323423138,2,50.0,18,4,5,4,11,10,28,39,80,7,31,5,5,5,True
INJUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,5.608107776798299,3,66.66666666666666,19,2,2,3,14,16,15,49,80,10,34,4,4,17,True
INJUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-5.591504650448442,3,66.66666666666666,17,1,2,4,6,10,31,35,100,13,38,5,2,19,False
INJUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.1460785019065334,1,0.0,17,3,5,8,8,12,21,39,80,9,38,5,5,8,True
INJUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,1.0394317880794812,1,100.0,17,2,2,3,12,10,22,29,140,15,36,5,4,12,False
INJUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-5.329800773683402,1,0.0,17,1,3,8,6,12,23,41,50,10,29,5,4,6,True
INJUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.2375043370844274,1,100.0,11,2,3,4,14,10,24,39,170,20,38,5,2,8,True
INJUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.3904420601437595,3,66.66666666666666,15,1,5,5,13,18,28,33,110,19,35,3,5,15,True
INJUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,8,4,7,8,14,13,29,41,120,12,21,5,3,15,True
INJUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.5475391191211774,2,50.0,11,3,5,9,14,11,16,31,110,12,38,5,4,7,True
INJUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.731319853914349,3,100.0,14,3,4,7,5,14,29,49,100,10,33,5,5,13,True
INJUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-0.4865948875405812,1,0.0,17,4,2,5,12,18,32,29,100,7,29,4,4,10,True
INJUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-8.272177642879253,1,0.0,19,4,3,8,7,14,22,45,110,15,37,5,3,8,True
INJUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.9430461475591345,2,100.0,13,4,4,7,9,24,22,45,110,7,30,3,6,8,False
INJUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-2.6488183500316342,1,0.0,19,3,5,8,14,11,25,29,50,15,29,1,3,11,True
INJUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.3214904052800893,1,100.0,19,3,7,4,12,18,15,45,130,9,21,1,3,18,True
INJUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,3.3182862854149064,4,100.0,11,4,7,5,8,11,28,41,150,7,36,4,3,14,True
INJUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.274276868598867,2,100.0,13,4,3,4,7,10,22,33,70,13,34,5,3,12,True
INJUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-2.4769244338098573,3,66.66666666666666,15,3,3,8,7,20,23,27,150,9,35,4,7,15,True
INJUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.448656490961441,2,50.0,15,2,7,9,10,14,32,35,140,8,22,4,2,11,True
INJUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,4.996214716637315,5,80.0,19,1,5,5,12,23,33,41,70,9,38,4,6,17,False
