Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
LDOUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-0.6968647483999835,3,66.66666666666666,False,16,2,3,6,5,17,27,35,50,10,37,5,True
LDOUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,6.634542465200011,1,100.0,False,19,2,2,7,9,17,29,37,100,15,36,5,False
LDOUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,5.8063833308000135,2,50.0,False,17,2,3,4,5,14,26,37,70,8,38,5,False
LDOUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,6.850408379600004,4,100.0,False,16,3,3,4,8,23,20,29,50,7,38,3,True
LDOUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,5.475954270000027,2,50.0,False,12,4,3,4,6,10,28,45,60,8,36,3,True
LDOUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-4.335480024799998,1,0.0,False,19,1,3,3,7,23,17,31,50,13,37,3,False
LDOUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.013466101199977043,1,0.0,False,19,2,2,8,6,20,29,35,170,14,38,3,True
LDOUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,2.818043903199996,2,100.0,False,19,1,6,7,5,22,32,27,130,16,38,4,True
LDOUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,8.024220402800019,3,66.66666666666666,False,16,2,2,9,7,19,22,49,80,18,38,5,False
LDOUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,2.9122140564000087,1,100.0,False,15,3,2,3,8,18,25,41,130,16,39,3,False
LDOUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.2599482636000183,2,50.0,False,19,4,5,4,10,22,21,45,140,13,28,1,True
