Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
LDOUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-1.3434185546540522,5,80.0,19,1,7,6,9,19,26,33,60,7,35,5,4,7,True
LDOUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-2.033226575396563,2,50.0,19,2,3,3,10,17,21,25,50,12,38,5,7,15,True
LDOUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,5.3048243784225235,2,50.0,18,3,2,3,10,13,22,39,100,8,38,5,7,14,False
LDOUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,5.2679577846838965,2,100.0,18,3,4,9,10,13,18,47,80,11,36,5,5,19,True
LDOUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,1.888323722451224,1,0.0,17,3,2,3,14,21,20,47,50,10,39,5,6,16,True
LDOUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-4.139087515076268,1,0.0,19,4,3,6,9,23,25,39,170,9,34,5,5,14,True
LDOUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-7.840574344112317,1,0.0,15,1,2,4,14,15,16,33,50,8,33,5,3,11,True
LDOUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-18.603479449887473,1,0.0,19,2,3,4,5,22,34,31,140,13,34,4,3,14,False
LDOUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,4.8779980993955085,4,75.0,19,3,3,3,10,16,33,39,60,18,39,2,3,14,False
LDOUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.6649424819733296,1,100.0,15,2,3,6,6,20,33,35,160,12,27,2,3,10,True
LDOUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.7614894816341717,2,50.0,17,1,6,3,5,15,33,33,140,11,26,4,3,11,True
LDOUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.0378121793932271,2,100.0,17,3,7,6,5,17,31,37,180,14,26,1,5,16,True
LDOUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.7812523873479194,1,0.0,19,1,7,8,5,12,26,37,70,17,25,3,7,16,True
LDOUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-2.818705498995966,1,0.0,16,1,6,7,10,19,20,49,90,11,25,4,4,16,True
LDOUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,4.016599052142622,5,80.0,15,4,7,7,8,23,19,33,80,7,24,4,2,9,False
LDOUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-3.904998943938265,1,0.0,19,3,5,6,5,19,17,31,150,18,39,2,4,18,False
LDOUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.482937608810575,3,100.0,16,1,5,8,10,19,20,37,90,12,24,2,4,5,True
LDOUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,2.6526867553967604,5,100.0,17,3,3,6,8,24,26,33,70,12,27,1,4,7,True
LDOUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.4748170490504808,2,100.0,16,1,3,6,7,10,33,37,80,8,20,3,2,19,True
LDOUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-4.043095983917722,1,0.0,17,3,2,7,7,17,30,45,170,15,26,2,5,5,True
LDOUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.3234891747203825,1,100.0,19,1,3,5,10,18,23,45,160,10,25,5,2,7,True
LDOUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-4.71697800467169,3,66.66666666666666,14,3,5,4,7,24,28,29,90,9,20,2,4,9,False
LDOUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-1.610234417723877,1,0.0,16,4,4,9,6,18,29,25,130,10,34,3,5,5,False
LDOUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,4.001610442970138,3,100.0,19,1,3,3,14,12,23,33,120,9,29,5,2,8,False
