Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
LINKUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,7.158748395205339,1,0.0,17,3,4,5,12,11,22,35,90,7,37,4,7,9,True
LINKUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,2.273357049084024,3,66.66666666666666,19,4,6,7,7,20,16,37,170,15,37,5,3,7,True
LINKUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.8359653029169865,4,100.0,14,4,5,8,6,11,25,29,120,17,37,5,3,19,True
LINKUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-1.3532708077605649,1,0.0,15,3,4,3,6,24,15,37,170,20,37,5,2,11,False
LINKUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.0404272194210415,3,100.0,19,3,4,3,10,17,22,31,190,20,34,5,3,18,False
LINKUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-3.7336234274103486,2,50.0,18,3,2,6,5,19,33,41,170,10,28,5,6,15,True
LINKUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-3.833971747700493,1,0.0,19,3,7,7,7,13,31,35,60,14,33,5,4,19,True
LINKUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-10.278220871259203,1,0.0,19,1,2,6,5,13,26,41,60,14,29,5,6,11,False
LINKUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-0.27868529283511245,1,0.0,19,4,2,3,6,19,25,49,130,13,24,5,4,11,True
LINKUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,3.7828977972246935,1,100.0,19,2,7,8,5,24,24,37,60,12,27,5,2,8,False
LINKUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.95070192750877,5,80.0,19,3,7,4,9,22,31,31,190,7,29,3,2,16,False
LINKUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-6.26635699294571,1,0.0,19,4,7,3,12,23,20,37,50,14,38,5,2,15,True
LINKUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.5479122898781403,6,100.0,17,4,4,4,5,11,25,43,170,11,26,1,7,14,False
LINKUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.4999992280225074,2,50.0,13,4,2,3,8,23,21,49,80,9,22,1,6,15,True
LINKUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.045584035421120106,2,50.0,14,4,2,4,10,18,24,35,50,8,33,4,3,7,True
LINKUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-8.537985353058087,1,0.0,18,1,4,3,5,23,25,37,70,9,37,2,4,14,False
LINKUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.8997285427884361,4,100.0,16,3,3,3,11,17,25,37,170,12,22,1,4,15,True
LINKUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.3599546267519127,2,100.0,17,4,4,4,14,10,33,29,60,20,27,1,5,18,True
LINKUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,3.732223181446903,3,66.66666666666666,19,4,6,3,7,22,32,31,190,10,21,5,3,5,True
LINKUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-5.509051616280591,1,0.0,19,2,2,4,10,18,15,35,110,11,21,3,2,11,False
LINKUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.869148400345133,2,100.0,13,2,2,8,7,16,31,39,130,17,26,4,3,15,True
LINKUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-0.44654889456109403,4,75.0,17,4,4,4,7,13,21,47,110,10,22,1,4,7,True
LINKUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,2.31983660613837,1,100.0,15,2,2,4,8,15,24,49,120,15,25,5,4,15,True
LINKUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,4.127868237831311,3,100.0,17,1,7,7,6,14,24,45,120,12,27,4,5,7,True
