Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
LTCUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,2.0379049999999843,3,66.66666666666666,False,19,1,4,3,12,15,30,49,120,8,38,3,False
LTCUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.7107976799999971,1,0.0,False,19,4,4,5,14,13,32,31,120,7,36,1,True
LTCUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.20176311999999808,1,100.0,False,18,4,3,6,11,20,27,33,110,7,37,1,False
LTCUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.1551768800000195,4,100.0,False,19,1,5,6,8,17,27,25,90,7,39,1,True
LTCUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.7845971999999923,2,100.0,False,19,3,3,4,11,21,22,45,140,7,33,2,True
LTCUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,4.671143879999984,4,100.0,False,19,1,2,9,10,10,15,35,140,8,36,2,False
LTCUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,6.550483799999984,2,100.0,False,12,2,3,3,8,21,17,43,150,7,36,3,False
LTCUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-0.4119113999999868,1,0.0,False,14,2,2,3,5,12,17,35,50,7,37,3,False
LTCUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.2523123200000263,2,50.0,False,19,1,2,8,10,23,19,29,50,10,39,4,True
LTCUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.846650719999987,1,100.0,False,18,1,2,3,8,21,20,31,180,8,36,3,True
LTCUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.018483599999996603,1,0.0,False,13,2,2,9,13,12,27,37,170,15,31,1,False
LTCUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.6531752000000113,1,0.0,False,19,1,3,9,11,10,21,27,150,12,39,1,False
LTCUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.3869298799999976,2,100.0,False,19,2,7,4,5,11,23,37,100,10,37,1,False
LTCUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.0,0,0,False,14,4,3,4,13,20,25,25,190,16,35,1,False
LTCUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.1358575199999823,1,100.0,False,13,4,4,5,13,18,31,41,170,18,35,1,False
LTCUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,1.824595079999991,7,85.71428571428571,False,19,2,2,3,10,20,27,25,90,9,35,1,False
LTCUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.9212990799999821,1,100.0,False,5,3,3,7,10,13,34,25,130,14,39,4,False
LTCUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.9059122399999953,1,0.0,False,18,1,4,6,10,21,23,41,170,12,24,2,False
LTCUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.5498287200000007,1,100.0,False,18,1,4,3,12,24,30,33,50,10,22,1,False
LTCUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.1347767999999805,1,100.0,False,12,1,3,4,5,12,15,43,60,13,25,1,False
LTCUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,False,19,2,4,5,11,23,18,45,150,17,28,3,True
LTCUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.07548424000001219,3,66.66666666666666,False,18,3,7,7,5,21,21,29,180,8,37,3,True
LTCUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.854977999999984,1,100.0,False,19,3,4,4,9,15,17,43,110,10,36,4,True
LTCUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,4.368767720000011,2,100.0,False,17,1,2,4,5,15,18,47,50,13,35,4,True
LTCUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-2.130822680000022,2,50.0,False,18,2,5,5,14,19,19,47,60,8,36,4,False
LTCUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,3.2531697200000043,4,75.0,False,19,1,4,3,11,12,31,31,140,7,39,3,True
LTCUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.4388640000000166,2,50.0,False,16,4,2,5,9,19,26,41,130,17,38,1,True
LTCUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,1.4963138799999998,3,100.0,False,15,2,3,9,13,20,20,43,50,7,23,1,False
LTCUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,0.189263559999997,1,0.0,False,16,3,4,5,14,18,16,29,120,8,37,5,False
LTCUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,1.6347758400000245,3,66.66666666666666,False,16,4,7,9,11,13,21,41,150,16,35,3,False
LTCUSDT,1H,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,-3.8639809199999986,1,0.0,False,16,1,2,7,9,14,31,27,190,10,30,4,True
LTCUSDT,1H,32,2024-12-16,2025-03-10,2025-03-10,2025-03-24,0.9304159200000051,2,50.0,False,19,3,2,5,10,19,15,25,120,8,34,5,True
