Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
LTCUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,2.071109135253524,4,75.0,18,1,5,6,5,21,16,47,130,9,32,5,2,16,True
LTCUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,1.5654565489584549,3,66.66666666666666,19,3,2,3,6,20,24,41,130,17,36,1,7,7,False
LTCUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.5115978435179311,4,100.0,15,4,4,3,8,16,18,31,90,12,36,4,2,14,False
LTCUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.4712208254049832,1,0.0,14,1,6,6,8,11,24,41,60,9,37,3,2,19,True
LTCUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,5.963858589089832,2,50.0,19,4,2,4,10,17,23,37,190,19,38,1,4,13,False
LTCUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-0.9501367451979825,1,0.0,18,4,7,4,7,24,22,29,50,14,37,3,3,8,True
LTCUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,5.284253888804602,5,80.0,16,1,2,4,11,11,31,27,60,13,31,5,2,18,True
LTCUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-9.089640205721139,1,0.0,19,2,2,3,13,14,28,31,90,12,38,5,5,18,False
LTCUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.0129476578065288,1,0.0,17,4,6,4,8,14,25,35,100,8,31,5,7,19,True
LTCUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.1480483176508738,3,66.66666666666666,19,4,3,3,12,22,19,39,70,13,30,3,5,5,False
LTCUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.32742688075924065,1,0.0,19,4,4,6,7,14,33,25,90,9,28,2,6,10,False
LTCUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.20157488873577822,2,50.0,13,4,2,6,13,18,29,37,70,15,35,4,4,15,False
LTCUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.6732654223433832,2,100.0,17,1,7,6,14,22,26,33,80,18,26,1,5,8,True
LTCUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,1.2386044922720219,1,100.0,13,4,5,9,10,20,25,25,150,8,26,3,2,8,True
LTCUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.506144365495631,2,100.0,18,4,5,3,10,23,16,27,100,13,25,1,5,19,True
LTCUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-0.3657698292207856,2,50.0,12,1,7,6,8,13,31,45,170,9,25,5,2,6,True
LTCUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.20989155352060251,2,100.0,11,3,3,6,13,14,17,33,180,10,22,1,7,5,True
LTCUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.4259884011534876,1,100.0,19,2,3,3,5,23,33,49,120,12,21,3,2,9,False
LTCUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.3924904700926435,1,100.0,19,1,7,4,9,12,25,47,120,13,26,1,2,6,True
LTCUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.29825562878096346,2,50.0,13,1,6,5,14,19,29,37,130,11,39,4,2,14,True
LTCUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.2625748102272683,2,50.0,15,1,7,6,9,20,27,43,100,11,28,5,3,15,True
LTCUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-2.2810138192413065,2,50.0,18,1,3,3,8,18,24,33,160,16,36,4,2,7,False
LTCUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,2.937328898862779,1,100.0,19,4,5,6,5,15,21,33,170,10,38,4,4,5,True
LTCUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,11.702598116621242,3,100.0,19,2,2,4,5,15,25,25,50,7,28,5,6,6,True
