Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
NEARUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-1.222366333140379,2,50.0,18,1,2,7,5,21,34,37,50,7,38,5,4,8,True
NEARUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-7.757376030006869,1,0.0,18,4,3,6,8,18,27,45,110,7,36,4,5,16,True
NEARUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,4.584412802235827,2,100.0,18,2,2,4,7,13,23,35,150,14,37,4,6,15,True
NEARUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,9.691684807524958,5,80.0,16,3,3,4,10,16,17,47,90,8,33,5,4,15,True
NEARUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.3383891205185625,7,85.71428571428571,17,1,4,4,5,16,19,33,100,10,29,5,3,6,True
NEARUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,4.5786802316522435,5,80.0,19,1,7,6,9,15,23,45,90,10,30,5,4,16,True
NEARUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-3.35242156151766,1,0.0,18,1,5,6,10,21,28,41,160,7,38,5,4,19,False
NEARUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-3.7651288837760144,1,0.0,19,4,4,7,12,23,15,39,140,10,33,5,4,8,True
NEARUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,3.5519616182104308,4,100.0,19,4,2,6,6,20,33,35,130,13,38,4,6,10,True
NEARUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,5.314332153738688,3,66.66666666666666,16,3,3,6,13,10,19,27,190,13,35,5,4,7,False
NEARUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-2.806452511476909,2,50.0,19,3,3,3,5,19,18,49,150,13,35,5,7,11,True
NEARUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-10.94693225501433,2,50.0,12,4,4,4,6,18,21,31,110,15,36,5,2,18,False
NEARUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,2.573919146501047,3,100.0,12,1,7,3,8,16,15,27,190,15,29,5,2,8,True
NEARUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.9068872193265705,1,0.0,13,2,2,3,12,22,34,31,70,14,31,3,6,6,False
NEARUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.351248659065396,2,50.0,15,3,2,5,5,19,34,37,130,9,38,4,7,8,True
NEARUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-1.7971621701677987,6,83.33333333333334,19,4,5,5,5,15,32,31,170,7,28,3,2,8,True
NEARUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.18039311096440525,2,100.0,5,1,7,5,5,20,17,33,170,20,25,1,5,15,False
NEARUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.7617778984897239,1,0.0,5,2,2,6,8,20,15,41,190,9,37,1,4,5,True
NEARUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.5603877676525038,2,100.0,19,4,2,6,7,15,31,37,60,12,20,1,5,9,False
NEARUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,2.649520591190946,4,100.0,13,3,7,7,8,22,28,25,80,18,34,5,2,5,True
NEARUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,4.683027067577172,3,100.0,17,1,7,9,8,20,33,47,120,18,32,4,3,16,True
NEARUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-13.244988280414361,2,50.0,16,2,4,4,5,11,29,41,180,7,24,4,2,15,False
NEARUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,5.094800585493675,16,93.75,19,3,3,4,6,24,30,33,50,7,30,1,5,9,True
NEARUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,11.980846096450225,7,85.71428571428571,17,1,2,8,8,24,33,33,100,18,36,3,4,19,False
