Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
NEARUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-2.4263100399999904,1,0.0,False,19,3,3,7,7,20,21,39,100,8,33,5,False
NEARUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,4.148194772000013,1,0.0,False,19,4,2,6,5,17,25,49,110,7,32,5,False
NEARUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,4.887512400000005,1,100.0,False,17,1,6,4,10,21,23,43,50,16,35,5,False
NEARUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,2.6752605440000243,1,100.0,False,18,1,2,3,13,18,18,41,160,13,38,3,False
NEARUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,1.1456485200000088,1,100.0,False,19,1,6,6,5,15,22,45,170,9,31,2,False
NEARUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,2.626663476000002,2,50.0,False,16,3,6,9,7,10,20,41,140,13,33,3,True
NEARUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,2.4293945839999997,4,75.0,False,18,2,7,8,5,16,18,31,80,13,39,1,True
NEARUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-2.6833931719999926,1,0.0,False,13,4,2,3,14,16,17,27,70,8,36,5,True
NEARUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,11.046935244000021,3,100.0,False,13,2,2,8,6,13,16,31,70,10,39,4,True
NEARUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,4.693915687999994,3,66.66666666666666,False,19,2,2,7,6,22,25,29,70,8,36,4,True
NEARUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-5.015417919999998,1,0.0,False,19,3,5,4,5,23,17,41,100,13,39,3,True
NEARUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-4.722443635999984,1,0.0,False,19,4,2,5,8,13,21,25,120,16,38,5,True
NEARUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,5.282975075999996,3,66.66666666666666,False,19,4,5,6,9,20,24,39,90,14,39,3,False
NEARUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,4.764279780000025,1,100.0,False,13,4,6,3,7,17,29,29,50,9,37,3,False
NEARUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,3.4032365759999683,3,66.66666666666666,False,12,1,7,3,7,16,30,49,50,13,39,3,False
NEARUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,2.391078283999981,3,66.66666666666666,False,16,3,3,9,5,17,21,29,70,12,24,1,False
NEARUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,False,18,4,5,4,13,14,31,37,120,13,25,1,False
NEARUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,False,19,1,6,6,6,16,16,47,170,12,24,1,False
NEARUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.1383613600000064,1,100.0,False,17,3,5,9,11,19,28,45,110,12,23,5,True
NEARUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.0,0,0,False,19,2,4,3,14,19,34,35,100,14,23,3,True
NEARUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,False,19,4,3,3,9,17,25,35,120,13,24,5,True
NEARUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-3.6430856439999992,2,50.0,False,19,1,5,6,7,19,20,25,80,7,34,2,False
NEARUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,False,19,3,3,7,5,12,30,35,60,11,26,5,True
NEARUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.0,0,0,False,19,3,2,3,10,15,23,43,160,8,29,3,True
NEARUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-1.0513017799999913,1,0.0,False,19,2,4,8,9,20,29,47,80,11,37,3,True
NEARUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-3.539633056000002,1,0.0,False,16,1,2,7,7,11,16,45,70,15,39,2,False
NEARUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-8.90861115199999,1,0.0,False,17,2,2,6,5,20,25,41,70,7,33,2,True
NEARUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,0.0,0,0,False,16,1,2,9,7,11,28,47,50,13,24,4,False
NEARUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-11.663215400000004,1,0.0,False,17,2,6,5,11,15,31,43,140,11,26,1,False
NEARUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,False,19,3,5,4,7,12,32,39,140,12,21,4,True
NEARUSDT,1H,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,2.0641339480000243,2,100.0,False,19,3,3,5,11,14,30,33,140,15,25,1,False
NEARUSDT,1H,32,2024-12-16,2025-03-10,2025-03-10,2025-03-24,1.031605695999982,1,100.0,False,19,2,5,5,5,13,31,47,110,7,21,5,False
