Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
OPUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-0.07512021000000146,3,66.66666666666666,False,17,1,4,4,7,18,26,31,70,8,37,3,False
OPUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-6.263207227199996,1,0.0,False,17,1,2,5,5,24,29,31,80,7,37,3,False
OPUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,False,19,2,2,6,5,17,21,29,100,7,24,3,True
OPUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,11.430515721999978,3,100.0,False,19,2,3,5,9,23,33,31,50,7,34,5,True
OPUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.468461973999974,6,83.33333333333334,False,19,1,6,3,6,15,24,47,60,7,34,3,False
OPUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-12.676199889600015,1,0.0,False,19,1,4,4,9,22,32,45,50,7,38,5,True
OPUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-9.054518220000007,1,0.0,False,17,3,5,3,10,13,29,37,50,10,35,5,True
OPUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-11.521650864799993,1,0.0,False,19,3,6,6,6,12,31,25,60,7,38,3,True
OPUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,9.063581073599991,3,66.66666666666666,False,15,3,4,3,10,20,32,29,50,7,32,4,True
OPUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,3.830077626399908,5,80.0,False,18,1,2,7,6,19,17,37,50,9,25,1,False
