Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
OPUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,9.383988098342044,6,83.33333333333334,18,1,7,3,9,20,33,43,90,13,37,5,3,14,False
OPUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-7.559046654470681,1,0.0,19,2,5,8,5,11,28,35,50,7,29,4,3,10,False
OPUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,4.343317335128694,3,100.0,14,1,2,6,6,14,15,27,90,16,39,4,4,10,False
OPUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,13.461905794539097,5,100.0,17,1,3,7,6,12,15,43,70,14,39,5,4,16,False
OPUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,9.301617003557162,7,85.71428571428571,17,3,3,6,7,21,16,35,60,8,32,5,2,8,False
OPUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-9.97600452771843,2,50.0,19,2,2,3,9,12,16,33,80,9,35,5,4,18,True
OPUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-12.53918878378063,1,0.0,18,4,6,3,6,11,17,33,60,12,37,4,6,8,True
OPUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-17.566784686490045,1,0.0,18,2,7,4,7,13,29,27,50,8,38,5,7,13,True
OPUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,8.348891680201298,3,66.66666666666666,14,2,4,5,6,10,22,33,110,13,38,4,7,8,False
OPUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-1.4475886779004243,1,0.0,18,2,3,4,11,18,32,33,110,10,33,4,4,8,True
OPUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,19,3,4,8,12,21,26,43,190,13,21,1,4,18,False
OPUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.21211938597953672,2,100.0,10,3,2,8,5,20,21,33,190,12,20,1,5,10,False
OPUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.6498321970046517,1,0.0,5,4,2,8,5,24,34,49,130,8,33,4,3,19,False
OPUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.5188949477740863,1,100.0,17,2,7,3,10,15,26,31,170,20,32,5,2,14,True
OPUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,3.209968239525751,7,85.71428571428571,12,4,6,9,10,13,15,47,50,18,39,5,2,14,True
OPUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-3.9674244499784295,1,0.0,14,1,3,6,13,19,21,43,120,9,33,2,3,8,True
OPUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.13195141361257434,1,100.0,13,4,5,7,11,15,26,25,110,15,22,1,5,10,True
OPUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.0,0,0,16,4,5,5,6,10,17,39,110,18,22,1,6,12,False
OPUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.3082507040884206,1,100.0,17,3,4,5,8,14,29,27,170,14,31,4,3,17,True
OPUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.8265667227812754,5,100.0,17,4,2,4,8,11,23,45,150,18,38,1,5,19,True
OPUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,2.629437851933303,5,100.0,19,1,2,4,10,19,18,33,140,8,31,1,7,13,False
OPUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-4.611728222645073,2,50.0,16,3,5,6,7,11,34,41,110,7,26,5,3,9,False
OPUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,5.627085053644998,4,75.0,15,1,5,9,12,13,22,41,70,13,33,5,4,13,False
OPUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,1.165701908806649,1,100.0,17,2,4,7,6,13,27,25,180,16,36,5,5,10,True
