Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
SEIUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,9.086581675200001,3,66.66666666666666,False,16,2,2,4,8,22,28,27,80,9,37,5,False
SEIUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-13.691921875599999,1,0.0,False,17,2,2,9,7,20,20,49,50,9,39,5,False
SEIUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,3.614240209200026,1,100.0,False,16,2,2,3,5,13,30,37,130,8,33,5,True
SEIUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,5.320148798799962,5,80.0,False,16,1,3,6,9,18,23,43,140,7,38,3,False
SEIUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,5.237605010400026,3,66.66666666666666,False,18,2,2,3,12,14,26,37,70,9,37,5,True
SEIUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-2.560712170400037,1,0.0,False,18,2,2,9,7,20,18,29,140,13,38,4,True
SEIUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-1.780422502399992,1,0.0,False,18,2,2,3,5,19,23,31,80,7,33,1,False
SEIUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-9.165435041199977,1,0.0,False,19,1,5,4,6,15,16,35,60,10,37,4,True
SEIUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,5.4507542000000075,3,66.66666666666666,False,19,3,3,3,5,17,27,39,60,13,39,4,False
SEIUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,2.6109533068000124,1,100.0,False,14,3,5,4,9,22,29,25,100,10,37,4,True
SEIUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-5.810220865199989,2,50.0,False,13,4,4,4,9,18,32,33,50,8,35,1,True
