Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
SEIUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,5.382901220150593,3,66.66666666666666,17,1,2,9,10,14,34,39,60,9,39,5,7,12,False
SEIUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-11.622797608464786,2,50.0,16,1,4,4,10,12,33,39,50,11,38,4,6,8,False
SEIUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.3360385126055307,1,0.0,19,2,6,7,7,16,33,39,50,9,38,5,5,10,False
SEIUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-1.4279328030256555,3,66.66666666666666,16,1,6,3,14,21,22,33,60,11,39,5,4,19,True
SEIUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.882011410455703,4,75.0,19,3,2,3,5,10,17,27,50,14,38,5,7,14,False
SEIUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.10248688224778757,3,66.66666666666666,17,1,5,4,5,24,31,39,160,10,38,5,6,13,True
SEIUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-11.793034709301342,1,0.0,19,4,4,5,5,15,15,47,90,7,32,4,2,16,False
SEIUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-3.8220735625452695,1,0.0,14,2,4,6,6,10,18,35,180,11,37,5,2,8,True
SEIUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-1.7856323835160448,1,0.0,19,4,2,4,14,15,32,33,90,8,30,5,6,14,True
SEIUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.09737467217230122,2,50.0,19,4,2,5,5,24,15,47,180,12,38,1,4,16,True
SEIUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.2755187788504809,5,80.0,17,4,4,5,12,12,30,49,60,12,39,1,5,6,True
SEIUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-2.375558142292389,2,50.0,5,4,4,4,8,19,33,29,180,17,33,3,5,16,False
SEIUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.3512037255175793,4,75.0,5,2,2,9,14,23,16,31,70,20,36,1,2,9,False
SEIUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.3853503273108876,2,100.0,16,3,6,5,10,14,32,31,170,13,26,3,4,5,True
SEIUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,15,3,7,3,14,18,25,45,110,17,26,1,7,6,False
SEIUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-4.793058139400442,1,0.0,18,4,2,9,9,21,18,47,150,18,35,5,5,7,False
SEIUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,17,2,7,3,12,13,23,29,100,17,26,1,2,8,True
SEIUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,1.8355153773236932,4,100.0,19,1,5,5,5,19,31,31,140,17,31,1,4,14,False
SEIUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.5536191796874377,1,100.0,16,1,4,3,5,22,16,35,140,12,31,2,2,9,True
SEIUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,6.448568340454308,6,100.0,16,1,6,3,8,16,27,43,90,13,30,5,3,13,True
SEIUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,5.088061729320081,3,66.66666666666666,19,2,4,3,12,14,29,39,60,7,31,3,5,15,False
SEIUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-11.220399473557574,1,0.0,14,4,3,4,6,23,28,41,50,8,36,5,6,10,False
SEIUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,1.712300455261584,3,66.66666666666666,19,4,4,7,5,17,17,45,120,15,31,4,3,11,True
SEIUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,11.745500369648099,5,80.0,17,1,3,4,12,19,33,41,50,10,37,5,5,17,False
