Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
SOLUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,12.792598891999972,4,100.0,False,19,1,5,4,6,10,18,47,50,10,36,4,True
SOLUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,4.549890708000004,1,100.0,False,19,4,4,5,5,11,16,45,100,11,36,4,True
SOLUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.5543127279999958,1,100.0,False,18,1,5,5,6,10,23,49,90,13,38,4,False
SOLUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-3.4120694640000115,1,0.0,False,14,3,2,3,8,16,26,39,170,11,37,4,True
SOLUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.21354797999999509,2,50.0,False,19,2,4,3,8,22,30,27,50,14,36,4,False
SOLUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,10.100753071999979,2,50.0,False,18,4,2,6,5,17,26,35,110,10,37,4,False
SOLUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-4.403047548000016,2,50.0,False,19,1,4,4,5,15,30,25,50,9,37,4,False
SOLUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,1.792076096000006,1,0.0,False,17,1,4,4,6,12,25,41,100,9,38,4,True
SOLUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,4.693003247999994,2,100.0,False,18,3,6,6,7,22,34,35,110,9,33,3,False
SOLUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.1549198279999775,1,100.0,False,11,1,7,5,6,24,32,49,110,12,28,1,False
SOLUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.218497599999991,1,0.0,False,19,2,2,6,8,12,28,47,110,7,38,4,False
SOLUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.2136632999999906,3,100.0,False,12,1,3,9,6,11,33,45,140,13,30,1,True
SOLUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.6256942159999843,2,100.0,False,18,2,2,9,8,13,22,39,120,16,31,1,False
SOLUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.8036403200000208,2,100.0,False,10,4,4,3,5,19,25,49,170,19,39,3,True
SOLUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.8637279560000266,1,100.0,False,19,1,7,3,7,24,33,45,190,15,39,2,False
SOLUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,8.932203239999993,3,100.0,False,13,1,6,8,8,20,16,25,160,7,31,2,True
SOLUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,False,15,4,7,3,8,12,34,27,150,16,26,1,True
SOLUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,1.3835481360000124,3,100.0,False,15,2,3,9,8,16,30,33,130,10,29,1,True
SOLUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.3725515999999827,1,100.0,False,13,3,4,4,5,24,29,35,50,14,24,1,False
SOLUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.1209722879999875,1,100.0,False,9,4,7,7,6,14,23,35,70,17,25,1,False
SOLUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,False,17,4,6,6,6,20,27,37,170,11,21,1,True
SOLUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-0.8246782399999986,1,0.0,False,17,1,2,5,8,12,22,49,150,10,31,2,False
SOLUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,False,19,2,2,4,6,11,24,39,120,11,29,5,True
SOLUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-1.7836103200000064,1,0.0,False,18,1,2,4,5,23,22,39,90,7,31,5,False
SOLUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,3.812833680000005,2,50.0,False,16,2,7,7,7,11,29,45,50,7,30,5,False
SOLUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,1.7573584000000197,2,100.0,False,18,1,2,3,5,24,26,37,170,11,38,2,True
SOLUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,1.5891088000000275,2,50.0,False,19,4,2,6,13,15,27,37,50,8,35,3,False
SOLUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,0.0,0,0,False,19,1,4,3,5,22,22,33,50,17,31,2,True
SOLUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-3.748590000000007,1,0.0,False,13,2,2,3,14,14,33,31,100,7,36,3,True
SOLUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,1.434557840000017,1,100.0,False,19,1,2,7,14,13,33,39,190,20,33,2,False
SOLUSDT,1H,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,-0.14813119999999014,1,0.0,False,11,4,3,5,13,16,34,25,170,10,23,4,False
SOLUSDT,1H,32,2024-12-16,2025-03-10,2025-03-10,2025-03-24,0.0,0,0,False,18,3,4,8,8,24,30,43,70,20,24,4,True
