Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
SOLUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,16.09819769697649,4,100.0,19,1,4,4,5,17,33,31,100,8,33,4,3,12,True
SOLUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,4.580770292402314,1,100.0,18,2,2,3,7,17,17,45,130,9,33,5,4,9,True
SOLUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,3.2873071226037665,1,100.0,18,1,2,7,9,17,20,33,170,8,34,5,5,6,True
SOLUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.969933461069572,2,50.0,19,2,3,3,5,10,25,27,190,7,30,4,4,8,True
SOLUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,5.8373150123805395,3,66.66666666666666,19,3,2,3,5,19,31,49,190,8,28,5,7,15,True
SOLUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,7.8075671890263765,3,100.0,17,4,3,9,14,12,32,39,120,7,37,5,2,9,False
SOLUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-2.511696975377131,2,50.0,17,2,2,3,9,24,29,45,190,15,36,5,4,13,True
SOLUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-8.919955874701769,1,0.0,19,2,3,3,5,19,32,49,60,14,37,4,7,16,True
SOLUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,5.310467506523042,1,100.0,18,3,4,5,5,15,28,35,180,8,33,5,7,17,True
SOLUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.154027847987238,3,100.0,19,2,4,3,5,10,24,37,60,7,24,1,4,9,True
SOLUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-4.417148979341623,1,0.0,19,2,2,3,8,18,22,35,50,9,30,4,6,8,True
SOLUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-5.941625739855549,1,0.0,18,3,3,4,6,13,16,47,100,10,34,1,5,13,False
SOLUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,3.1644718404271854,6,100.0,19,2,3,3,5,22,21,37,100,12,34,1,6,14,True
SOLUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.199875767029492,3,100.0,19,1,7,4,6,10,22,31,180,12,37,5,2,19,True
SOLUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.2564329795204277,3,100.0,19,2,2,5,14,23,28,49,140,8,30,1,3,9,False
SOLUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-7.719848263333972,2,50.0,17,2,6,5,6,17,33,41,80,13,37,2,4,12,False
SOLUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,17,4,4,9,11,20,32,29,80,13,25,1,7,7,False
SOLUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.06220792214883808,1,0.0,19,4,5,3,14,21,17,29,140,10,21,1,6,17,True
SOLUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,2.3982647192787754,5,80.0,19,4,2,3,14,16,19,43,50,8,38,2,2,14,True
SOLUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,1.1208185862811693,1,0.0,12,4,7,3,5,15,32,45,140,9,21,1,2,8,False
SOLUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,19,4,4,6,13,11,32,29,130,19,29,1,6,12,False
SOLUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-1.4361415499400731,2,50.0,15,2,3,9,13,15,30,45,120,14,36,5,2,11,True
SOLUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,2.666599072320941,3,100.0,18,4,6,9,6,23,23,35,50,15,36,3,5,17,False
SOLUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,0.14438319477132477,2,50.0,18,2,2,6,9,23,25,43,90,8,29,5,4,18,False
