Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
SUIUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,15.839188822799999,2,100.0,False,19,1,2,3,9,21,22,49,140,8,32,5,True
SUIUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,7.071476060000026,3,66.66666666666666,False,18,4,2,4,6,20,34,47,70,9,36,4,False
SUIUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.115733320400003,1,100.0,False,19,2,3,3,10,12,29,43,150,8,34,5,True
SUIUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-5.710665544000005,1,0.0,False,18,1,3,3,5,15,18,45,90,7,38,4,False
SUIUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,3.2135376547999916,2,50.0,False,14,4,4,3,5,21,34,27,60,11,39,4,True
SUIUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,18.286186572399977,5,80.0,False,18,2,2,3,7,17,30,25,50,10,38,4,True
SUIUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-13.764617950800007,1,0.0,False,19,3,2,4,8,24,32,43,50,10,38,5,True
SUIUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.0,0,0,False,19,1,2,9,6,21,28,27,170,19,35,5,False
SUIUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-0.33562744400001954,1,0.0,False,13,4,2,5,5,14,19,43,50,7,22,2,True
SUIUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.6143699964000104,2,100.0,False,7,4,2,5,14,11,20,41,140,13,36,1,False
SUIUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.7457002647999884,3,66.66666666666666,False,19,3,3,6,12,10,29,39,110,8,39,1,False
SUIUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-6.854659324400014,1,0.0,False,12,4,2,3,14,24,18,39,50,7,39,5,False
SUIUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,False,19,1,5,5,11,15,22,27,90,15,21,5,True
SUIUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,4.382687592800005,1,100.0,False,17,2,3,4,6,22,26,25,90,15,29,2,True
SUIUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.7301950944,2,50.0,False,19,3,4,5,14,22,27,29,170,19,31,3,False
SUIUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,1.6979350844000152,1,100.0,False,18,1,3,4,13,19,21,35,60,18,36,2,True
SUIUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,False,19,3,6,5,9,11,31,37,130,10,22,2,False
SUIUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.6696002852000005,1,100.0,False,19,3,7,5,8,24,34,35,70,11,25,2,False
SUIUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,False,16,2,2,3,13,11,20,45,110,19,34,3,False
SUIUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,4.102642394799982,3,100.0,False,19,2,5,5,10,23,30,27,150,7,36,2,True
SUIUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,6.529129590000005,2,50.0,False,19,2,4,3,8,21,20,35,60,7,35,4,True
SUIUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,9.406650717999998,3,66.66666666666666,False,17,1,5,5,5,19,21,31,50,9,38,5,False
SUIUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,1.8812692712000034,3,100.0,False,15,1,5,5,12,21,29,43,60,11,35,2,False
SUIUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-3.6382027199999945,1,0.0,False,18,2,5,4,5,18,19,37,60,7,35,4,False
SUIUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,11.167155725599986,2,50.0,False,19,1,3,9,5,12,30,33,60,8,33,5,True
SUIUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,1.5755182671999934,5,80.0,False,17,2,3,3,8,13,19,37,100,12,35,2,False
SUIUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,3.3305143384000147,1,0.0,False,19,4,4,9,11,16,21,25,60,16,39,5,False
SUIUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,2.0438487183999987,2,50.0,False,19,4,3,6,9,24,27,37,120,14,33,5,False
SUIUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-8.51188822240001,1,0.0,False,18,3,3,6,5,18,33,35,140,11,33,3,True
SUIUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,4.597017021599981,1,100.0,False,16,4,5,4,11,23,27,45,110,11,29,5,True
SUIUSDT,1H,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,-6.0080971803999965,2,50.0,False,19,3,3,5,9,10,27,33,120,15,38,3,False
SUIUSDT,1H,32,2024-12-16,2025-03-10,2025-03-10,2025-03-24,0.0,0,0,False,18,3,4,4,12,21,30,29,100,11,21,5,True
