Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
SUIUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,13.880385843576004,6,100.0,19,1,5,7,11,17,15,35,110,8,36,5,3,12,False
SUIUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,4.271861579928804,3,66.66666666666666,16,1,4,4,6,12,18,31,50,8,37,5,7,9,True
SUIUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,12.935935801832521,4,75.0,18,1,2,3,5,21,18,43,60,7,33,5,7,18,True
SUIUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-4.667142245098566,2,50.0,19,4,3,3,9,23,30,43,60,11,37,4,2,5,False
SUIUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,2.6703960922001446,3,66.66666666666666,19,2,3,5,14,24,16,37,50,8,32,5,2,6,False
SUIUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,9.454094157464255,6,100.0,16,3,2,4,5,18,17,29,130,10,29,4,2,18,False
SUIUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-8.278650781613795,2,50.0,19,1,2,4,7,13,34,33,60,10,34,5,7,18,True
SUIUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-6.746290412745671,1,0.0,16,1,7,6,5,16,17,29,90,11,38,5,4,7,True
SUIUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-11.666281251843069,1,0.0,18,1,3,7,12,17,31,41,50,8,36,4,3,15,True
SUIUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.9372984283439365,4,75.0,11,4,4,3,8,19,31,25,70,17,34,1,3,10,True
SUIUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-3.878360563572536,1,0.0,19,4,2,3,9,23,20,49,50,16,38,4,6,6,True
SUIUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-3.681564366491763,3,66.66666666666666,18,4,3,3,9,15,16,31,70,11,34,4,7,15,True
SUIUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,17,4,5,5,10,15,29,49,180,17,20,4,7,19,False
SUIUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.8032004383271119,1,0.0,5,1,2,7,8,13,29,39,110,16,37,2,4,14,False
SUIUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-0.6395180595911931,4,75.0,10,3,4,5,13,15,23,31,150,10,30,3,2,12,True
SUIUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,1.8152751065145356,3,100.0,19,2,4,7,6,16,31,37,100,11,31,1,5,12,True
SUIUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.4045540260689373,1,100.0,17,3,7,3,8,14,27,47,120,18,30,5,2,7,True
SUIUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,2.1997619028857773,3,100.0,9,2,3,8,11,18,29,41,150,14,34,4,2,7,True
SUIUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,5.022397241565679,6,100.0,13,1,7,5,9,10,20,39,60,7,38,5,2,19,False
SUIUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,8.275518381725465,4,100.0,17,1,6,3,9,14,28,25,70,11,36,5,5,10,False
SUIUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,4.482259608184536,3,66.66666666666666,15,4,5,4,5,16,29,33,70,8,39,4,6,13,True
SUIUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,9.387258954096467,4,75.0,19,1,2,5,13,18,29,35,60,7,24,3,4,6,True
SUIUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,7.574065440015176,9,88.88888888888889,19,2,2,3,10,19,23,29,70,7,33,5,2,10,False
SUIUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,1.709084425306795,1,0.0,19,1,6,5,9,13,31,27,60,7,29,5,7,7,False
