Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
TRXUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,1.7643054849600048,2,100.0,False,19,1,3,7,8,24,15,31,50,11,38,2,False
TRXUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.3780028890400189,2,100.0,False,19,2,2,8,10,12,25,37,120,10,38,1,False
TRXUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,False,15,1,5,9,14,23,21,31,150,9,32,2,True
TRXUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-0.08619359668000648,1,0.0,False,15,1,3,3,7,14,29,37,80,11,34,1,False
TRXUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-1.0936225094400287,1,0.0,False,19,1,2,3,14,17,27,35,150,7,28,1,True
TRXUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-4.159808801439979,1,0.0,False,15,2,2,9,5,21,21,43,50,7,31,2,False
TRXUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.0239247329200118,3,66.66666666666666,False,19,4,2,9,13,12,27,47,60,9,33,1,False
TRXUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,1.2688719226400247,1,0.0,False,15,3,4,3,12,24,23,35,90,18,20,2,False
TRXUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,False,5,3,2,5,12,23,16,37,170,7,26,1,True
TRXUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.06268163356000223,1,0.0,False,6,3,7,8,14,12,21,37,150,18,24,5,True
TRXUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0646074454399681,1,0.0,False,13,1,6,6,6,23,21,45,70,19,21,2,False
TRXUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,False,14,3,3,3,14,23,22,41,110,20,21,1,False
TRXUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.2022332540799976,1,100.0,False,19,3,3,5,8,15,31,27,80,16,38,1,True
