Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
TRXUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,3.9941788363507813,4,75.0,19,4,3,4,12,18,26,25,70,12,33,5,2,8,True
TRXUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,2.7210188954559733,3,66.66666666666666,18,3,3,4,8,17,30,43,80,7,32,5,2,13,False
TRXUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,18,2,2,4,9,14,32,49,170,18,34,4,3,14,False
TRXUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.9327767658678043,3,66.66666666666666,18,4,3,4,14,14,16,27,60,10,29,5,3,19,True
TRXUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-0.9721301232269108,1,0.0,18,4,6,3,5,18,15,47,60,9,34,5,4,17,False
TRXUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-4.13154104792447,1,0.0,19,2,4,7,12,20,29,47,50,14,37,3,7,5,False
TRXUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.7253602090778521,1,0.0,9,2,3,8,12,19,31,31,50,15,33,5,7,6,False
TRXUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.44346595725197613,1,0.0,18,1,3,7,9,14,33,47,130,20,20,1,7,13,True
TRXUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.10956056549529247,3,66.66666666666666,5,2,4,7,8,18,25,35,150,16,30,1,3,7,False
TRXUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.012911772015566925,1,0.0,5,4,7,9,14,16,17,29,150,19,20,4,6,6,False
TRXUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.046549227141734484,1,0.0,12,4,7,9,14,11,16,33,60,17,20,5,6,7,False
TRXUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,15,2,2,3,10,21,20,25,90,18,21,3,5,6,True
TRXUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.6974789760439082,2,100.0,17,4,2,4,9,16,23,35,100,19,39,4,2,18,False
TRXUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.5637238121067423,4,75.0,18,3,2,6,6,16,25,37,50,17,35,1,7,17,False
TRXUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,2.152727046642511,3,66.66666666666666,19,1,2,5,11,15,31,29,50,11,36,4,2,19,True
TRXUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,1.4190853114345092,1,0.0,19,3,5,8,8,15,23,27,50,10,33,5,2,7,True
TRXUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.890200189217217,5,100.0,19,4,5,3,5,15,33,43,100,13,39,5,2,18,False
TRXUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-0.6877830744950186,1,0.0,19,1,2,5,14,24,29,35,80,9,38,5,3,16,True
TRXUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.2987896840413784,1,0.0,17,2,6,3,12,13,33,25,90,7,37,3,2,7,False
TRXUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.6391910817227897,2,50.0,19,2,5,4,5,19,17,35,120,11,35,4,4,9,True
TRXUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-0.40130226618253495,1,0.0,19,4,7,4,9,20,15,35,60,8,38,5,4,5,False
TRXUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.3353360042996245,2,50.0,19,4,2,9,5,20,19,39,120,7,37,5,3,17,True
TRXUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,1.1182389701264839,2,100.0,19,3,2,3,6,13,33,43,100,9,29,4,3,15,False
TRXUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,3.9109075043110897,4,100.0,18,4,2,6,8,23,32,49,100,10,33,5,2,13,True
