Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
UNIUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,4.180339508000008,2,50.0,False,19,1,5,5,10,19,19,31,60,11,35,5,True
UNIUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-6.826704283999985,1,0.0,False,16,2,3,3,11,10,19,29,50,9,32,5,False
UNIUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.3865817279999906,1,100.0,False,19,3,6,5,10,23,19,35,150,7,35,1,True
UNIUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.4597270599999925,2,100.0,False,19,2,2,7,5,17,19,25,60,17,36,1,True
UNIUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.9223782840000139,3,66.66666666666666,False,17,1,2,3,6,11,30,39,60,13,39,2,True
UNIUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-9.455815631999975,1,0.0,False,18,4,4,6,7,11,33,35,50,9,36,5,True
UNIUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-2.9611925840000164,2,50.0,False,19,2,7,3,10,18,16,35,60,10,38,3,True
UNIUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-20.815756263999997,1,0.0,False,17,1,7,3,13,18,19,47,60,11,39,3,False
UNIUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,2.3217363879999953,5,100.0,False,17,1,6,9,10,10,26,29,70,7,36,1,False
UNIUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.7870298279999863,2,100.0,False,19,1,2,6,12,17,18,43,60,16,39,2,False
UNIUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,False,17,1,6,4,6,18,32,33,150,18,30,1,False
