Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
UNIUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-2.544100341073774,1,0.0,17,3,3,3,5,10,31,31,70,12,37,5,5,12,False
UNIUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-8.835764136034063,1,0.0,19,2,2,3,5,16,25,29,100,8,39,4,3,6,True
UNIUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.707827803983953,4,100.0,14,2,5,4,5,19,17,27,60,12,39,4,2,7,True
UNIUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,5.421087374860845,7,100.0,15,2,3,6,7,11,31,49,60,9,38,2,6,9,True
UNIUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,5.174376780842782,8,87.5,19,1,7,3,7,10,28,49,50,8,29,2,4,8,True
UNIUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-8.252218692164393,2,50.0,17,2,2,5,6,16,24,33,80,12,39,5,4,9,False
UNIUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-3.2421774830900363,2,50.0,17,3,3,3,8,16,23,29,160,8,35,5,5,12,True
UNIUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-26.024025886152813,1,0.0,19,1,5,6,7,16,31,49,60,11,30,5,2,5,True
UNIUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-0.11293613347852505,1,0.0,16,2,7,6,5,21,30,39,50,12,38,4,5,5,True
UNIUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.9495519540743125,2,100.0,19,1,4,8,5,12,31,27,160,10,38,1,2,15,True
UNIUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-1.1301506802088634,1,0.0,5,3,2,4,11,23,29,29,110,20,30,5,7,10,False
UNIUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.0211772896378433,2,100.0,9,2,5,8,9,22,16,47,50,8,27,5,3,9,True
UNIUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.04669650709765438,6,83.33333333333334,13,2,5,6,13,15,32,43,150,11,39,1,2,13,True
UNIUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.0407441111461875,1,100.0,17,1,6,5,10,13,30,49,170,11,20,5,4,8,True
UNIUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.2451307065205475,2,50.0,19,3,7,5,7,21,27,33,80,10,23,4,5,11,True
UNIUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-2.3071342289477936,1,0.0,14,1,6,6,12,19,17,45,180,19,32,4,7,13,True
UNIUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,14,1,4,6,11,14,19,49,90,20,27,4,5,12,False
UNIUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,1.3699514729158757,3,66.66666666666666,14,4,4,6,13,15,25,25,150,11,23,4,5,8,True
UNIUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.700302098054717,3,66.66666666666666,16,2,2,9,14,13,25,33,50,12,24,1,6,14,False
UNIUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.29369672943508895,1,100.0,15,4,3,5,5,15,23,39,130,12,23,1,6,8,False
UNIUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,2.86482442456808,3,100.0,15,1,5,9,12,16,31,41,190,18,39,4,2,6,True
UNIUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,2.2265251520595886,3,66.66666666666666,17,4,6,6,11,10,20,47,190,7,30,5,5,11,True
UNIUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,15.41121320108001,4,75.0,19,2,2,4,8,24,25,25,50,13,35,5,4,18,False
UNIUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,14.728875753428072,6,100.0,19,1,2,4,10,13,28,47,50,9,37,4,4,13,True
