Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
WLDUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,1.6641689350457733,4,50.0,18,3,3,4,8,23,22,49,90,13,38,5,3,16,False
WLDUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-10.29315173149662,1,0.0,14,3,2,3,5,10,18,33,100,16,39,4,3,15,False
WLDUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.5690672454382604,3,66.66666666666666,19,4,3,3,6,12,34,41,60,7,24,5,3,18,True
WLDUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,14.892671124611034,6,83.33333333333334,19,3,2,5,7,12,25,43,160,8,34,4,2,18,True
WLDUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,9.513197873457147,10,90.0,18,4,4,4,6,18,18,29,100,11,37,4,2,8,False
WLDUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,17.265129926170264,9,88.88888888888889,16,4,7,4,6,17,32,33,120,10,39,5,2,17,False
WLDUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-2.873662716367398,3,66.66666666666666,17,3,2,5,10,10,34,33,180,11,37,4,2,7,True
WLDUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-14.074405022021564,1,0.0,16,3,4,6,6,10,23,37,80,13,37,4,2,18,False
WLDUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.18197217760231865,1,100.0,16,2,4,7,5,23,20,43,50,13,39,4,4,18,True
WLDUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-3.779039168685505,4,75.0,18,3,7,7,6,23,16,31,90,12,39,5,3,15,False
WLDUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,3.598404504936026,4,75.0,17,4,3,4,9,12,22,45,160,9,29,4,5,18,False
WLDUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.710410339189595,8,87.5,17,4,5,3,10,22,18,29,150,9,20,1,2,11,True
WLDUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-0.3335769554972501,2,50.0,19,2,6,8,6,16,24,49,180,12,20,1,7,12,True
WLDUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.6573006807393504,2,100.0,15,3,5,6,5,20,23,43,120,16,21,2,7,11,True
WLDUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.8266531385247697,7,100.0,15,4,7,7,12,12,17,43,80,15,27,1,7,9,True
WLDUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,5.849567312211756,7,85.71428571428571,15,2,4,4,7,24,22,37,80,18,28,4,2,19,True
WLDUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.0926993214774194,3,100.0,17,1,2,8,5,11,28,43,50,13,23,2,2,7,True
WLDUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,3.5651083696693897,4,100.0,13,1,6,7,7,16,15,35,170,11,20,4,2,15,True
WLDUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,15,2,2,3,8,19,19,33,90,14,22,3,7,13,True
WLDUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,2.977864231983607,1,100.0,19,1,2,7,5,16,23,33,80,19,28,2,3,11,False
WLDUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.7894707377767096,1,100.0,18,2,6,3,7,16,15,35,80,19,29,2,5,13,True
WLDUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-0.25285301446034136,5,80.0,19,2,4,4,12,23,19,45,180,18,30,2,5,19,True
WLDUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,6.915054038390189,8,87.5,18,1,3,4,11,15,25,37,150,10,27,5,2,15,False
WLDUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,9.5222459789023,3,100.0,19,3,3,3,5,15,29,45,180,17,39,5,3,6,True
