Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
WLDUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-5.671131712799992,1,0.0,False,19,2,2,7,7,24,29,33,50,9,36,4,True
WLDUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-0.29844295360000883,2,50.0,False,18,3,3,9,5,19,20,29,120,7,34,5,True
WLDUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.8804770031999984,1,100.0,False,19,4,7,5,13,14,31,37,60,7,34,4,False
WLDUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,13.944324728800005,3,100.0,False,19,3,2,9,8,12,23,25,50,7,37,2,True
WLDUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,15.185046544400048,4,75.0,False,17,3,2,3,8,18,25,41,50,9,37,4,False
WLDUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,6.415199513999981,7,85.71428571428571,False,19,4,5,3,6,22,26,39,50,8,37,3,False
WLDUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-1.9333466691999979,1,0.0,False,19,2,7,6,10,24,31,45,150,19,37,4,True
WLDUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.907501035200009,1,100.0,False,18,1,5,5,5,23,31,37,190,7,24,5,False
WLDUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,8.185294470400017,4,100.0,False,18,3,3,3,9,19,24,29,50,11,38,3,False
WLDUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.9957614875999554,4,75.0,False,19,2,3,9,10,17,29,41,50,7,30,2,True
WLDUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.45089938000000274,2,100.0,False,9,3,2,6,12,16,23,49,110,13,37,2,False
WLDUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-11.492707643600008,1,0.0,False,16,3,6,6,5,23,27,25,110,10,32,3,True
WLDUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.26606403800000233,1,100.0,False,13,4,4,4,5,23,18,29,180,16,23,2,False
WLDUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,2.5132907920000003,3,100.0,False,15,4,5,3,5,12,17,35,60,7,21,2,True
WLDUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-6.756364758399991,1,0.0,False,19,2,2,3,9,13,15,33,110,12,36,5,True
WLDUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,4.887894698799977,4,100.0,False,17,3,2,3,9,16,23,31,130,11,25,1,False
WLDUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,False,14,4,4,6,6,15,22,43,130,12,26,1,True
WLDUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,1.2780126415999904,1,100.0,False,17,1,2,3,12,13,33,29,160,13,27,1,True
WLDUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,False,19,4,2,3,12,22,31,47,50,20,29,1,True
WLDUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.6459910088000065,2,100.0,False,18,3,4,4,11,11,32,45,50,12,27,1,True
WLDUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,False,18,4,7,4,12,13,30,35,100,16,28,2,True
WLDUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-9.991988550800002,2,50.0,False,17,1,3,4,6,19,17,27,160,7,33,3,False
WLDUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,2.4505520588000262,2,100.0,False,17,1,6,3,5,17,22,25,60,15,35,1,False
WLDUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,3.0688285244000024,2,100.0,False,19,2,3,9,9,24,34,33,110,14,39,3,True
WLDUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-5.807172940800031,1,0.0,False,18,3,2,4,8,14,15,27,50,9,30,5,True
WLDUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,0.7306957079999954,3,66.66666666666666,False,18,3,3,3,11,15,18,33,110,14,36,5,True
WLDUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.002073550799996937,1,0.0,False,18,4,2,3,5,10,15,35,180,12,23,5,False
WLDUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,0.0,0,0,False,18,2,3,4,8,18,22,47,120,18,29,5,True
WLDUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,1.9243777528000106,7,85.71428571428571,False,12,4,7,4,9,10,16,39,170,7,32,1,False
WLDUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.0,0,0,False,14,3,4,7,6,22,18,33,120,12,22,1,False
WLDUSDT,1H,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,0.5630894960000132,2,50.0,False,15,3,4,3,11,17,31,41,110,20,27,2,True
WLDUSDT,1H,32,2024-12-16,2025-03-10,2025-03-10,2025-03-24,0.0,0,0,False,17,3,6,6,13,11,21,37,60,20,28,1,False
