Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_entry_on
XRPUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,2.8167303452000025,2,100.0,False,19,2,2,8,5,14,26,31,60,10,34,2,False
XRPUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-4.406882155599979,1,0.0,False,19,2,3,3,6,16,32,41,70,8,36,2,False
XRPUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.41064846639999875,1,100.0,False,19,3,5,5,5,14,18,29,160,13,36,2,True
XRPUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.03001239600000094,1,0.0,False,15,3,4,4,11,17,20,35,120,12,30,2,True
XRPUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.7403268939999874,2,50.0,False,19,1,2,5,8,11,15,49,70,7,26,1,True
XRPUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,1.9338289355999905,1,0.0,False,18,4,2,4,9,17,34,39,100,18,34,3,True
XRPUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.5074334724000096,2,50.0,False,18,2,2,9,14,23,27,49,70,11,30,1,False
XRPUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,3.5619367952000047,1,0.0,False,19,2,5,8,8,21,19,41,60,14,28,5,True
XRPUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.7608291220000174,1,100.0,False,18,1,2,4,5,13,34,25,100,8,30,2,True
XRPUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.3761794956000042,2,50.0,False,17,3,2,4,12,22,34,45,90,11,33,2,False
XRPUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.2882698055999944,2,50.0,False,19,2,2,3,12,23,18,33,170,8,35,1,True
XRPUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,1.2338238195999995,3,100.0,False,19,4,2,9,11,13,33,39,100,14,37,2,False
XRPUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.6093560819999899,1,0.0,False,19,2,2,4,8,16,17,29,110,9,28,1,False
XRPUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,1.4829882936000072,1,100.0,False,17,4,3,4,12,19,30,31,110,13,34,1,True
XRPUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,2.3187902344000033,3,100.0,False,16,2,2,6,6,20,23,27,50,13,34,1,True
XRPUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,1.0000789215999895,1,100.0,False,14,3,4,4,13,17,17,39,100,8,31,1,False
XRPUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.12402526399999392,2,50.0,False,19,1,5,7,9,14,21,39,60,13,34,1,True
XRPUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-1.0722585751999913,1,0.0,False,19,3,6,5,10,16,17,45,50,10,39,2,True
XRPUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.3631976199999887,1,100.0,False,19,2,2,9,5,22,31,29,140,11,25,2,True
XRPUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-9.096677305599988,1,0.0,False,17,2,4,3,7,18,24,33,90,13,28,2,False
XRPUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.5490594023999762,2,50.0,False,15,3,7,3,5,17,29,39,100,7,33,3,False
XRPUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.10723203720000019,1,0.0,False,15,2,4,8,13,20,30,49,100,12,27,2,False
XRPUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,False,12,2,3,5,14,21,29,27,180,16,28,2,False
XRPUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,1.6540334959999514,3,100.0,False,18,3,3,8,6,21,19,29,50,8,33,1,True
XRPUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,4.9877092072000195,2,50.0,False,18,1,5,6,10,16,15,25,80,7,38,3,False
XRPUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-5.670162187999994,1,0.0,False,15,2,2,7,7,16,16,49,50,8,39,2,False
XRPUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,1.230348898399991,3,100.0,False,19,4,2,3,14,12,16,47,50,12,36,2,False
XRPUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,1.8006260107999772,4,75.0,False,19,1,2,9,14,21,17,45,80,10,38,2,True
XRPUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-10.099928321199991,1,0.0,False,17,1,4,7,13,19,31,39,50,11,33,1,True
XRPUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,4.591462757999998,1,0.0,False,14,4,4,3,9,10,16,31,60,16,39,5,True
XRPUSDT,1H,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,-7.8430680243999795,1,0.0,False,18,4,3,3,11,14,25,29,130,7,35,2,False
XRPUSDT,1H,32,2024-12-16,2025-03-10,2025-03-10,2025-03-24,-0.14554219119999878,1,0.0,False,19,4,3,3,14,10,30,43,80,11,21,5,True
