Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
XRPUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,3.629646131900466,2,100.0,16,1,2,7,5,14,24,35,150,10,31,3,2,5,True
XRPUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-2.650641602115922,1,0.0,16,4,4,4,6,24,28,31,60,17,36,5,2,18,True
XRPUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,1.5123738869118997,3,100.0,15,1,3,7,12,14,31,49,160,15,35,4,2,18,True
XRPUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.5468466138117023,2,50.0,19,1,2,3,8,16,19,39,180,9,23,3,2,14,False
XRPUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,3.08381202415986,2,50.0,17,3,2,3,12,24,33,45,70,19,37,5,2,13,True
XRPUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-0.5978563427307515,2,50.0,19,1,2,9,5,21,19,37,120,7,35,5,2,18,True
XRPUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.3947361428275009,2,50.0,18,3,3,4,8,23,26,49,120,9,27,2,3,17,True
XRPUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.8616723956263783,1,0.0,19,2,6,6,5,18,25,33,140,17,34,2,5,11,False
XRPUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,3.7643043104336193,1,100.0,19,3,6,3,8,17,15,35,160,10,28,4,6,8,True
XRPUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.9758634572280442,2,50.0,19,3,5,3,7,22,15,25,90,15,32,4,2,7,True
XRPUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.7625979651769366,1,0.0,19,2,6,5,7,17,24,25,120,20,34,5,3,15,True
XRPUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.24523453745808332,1,0.0,6,4,6,6,7,14,29,41,110,19,33,3,2,9,False
XRPUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-0.39491367270546585,1,0.0,18,2,4,5,11,10,15,47,170,19,39,1,7,13,True
XRPUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,1.0774630172506905,1,100.0,19,2,5,7,6,12,23,25,70,18,35,5,2,10,True
XRPUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,2.7017092885814664,4,75.0,19,4,5,5,8,12,25,33,170,14,39,5,2,8,True
XRPUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-0.3898472044783885,2,50.0,18,1,4,4,5,23,21,27,160,8,38,2,2,15,False
XRPUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.1470847266099815,2,50.0,17,2,7,3,6,21,17,43,100,19,38,4,2,11,False
XRPUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-3.2910888158137808,1,0.0,14,3,5,6,10,17,15,41,60,14,38,5,6,10,True
XRPUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.7188357411048507,2,100.0,17,2,6,4,13,21,29,35,100,17,29,2,6,16,True
XRPUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-5.970645163248333,3,66.66666666666666,16,1,7,7,5,22,32,47,160,7,39,5,2,16,True
XRPUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.7875590176470437,2,50.0,15,4,3,7,10,16,26,47,150,11,35,5,4,5,True
XRPUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-0.26036056541661745,1,0.0,15,2,6,4,11,21,21,33,150,18,29,2,5,9,False
XRPUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.0,0,0,19,1,7,5,12,24,25,35,170,16,27,2,5,5,False
XRPUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,3.034537507578494,2,100.0,17,2,2,5,13,21,30,27,90,15,27,5,2,15,True
