Symbol,Initial Capital,Score,lowest_point_bars,rsi_length,sell_barrier,dca_parts,Start,End,Target Timeframe,Optimization Date,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Win Rate (%),Total Trades,CAGR (%),Volatility (Ann.) (%),SQN,Kelly Criterion
BTC,10000,11.62494230569293,20,10,75,6,2024-01-01,2024-02-01,30min,2025-02-23 22:40:44,5.128665806841041,9.30960848565802,33.49671718629553,-4.221182031329319,81.25,282,141.39574069531062,16.94408719427215,1.92975664439934,0.5249334945356957
BTC,10000,11.62494230569293,20,10,75,6,2024-01-01,2024-02-01,15min,2025-02-23 22:40:56,5.128665806841041,9.30960848565802,33.49671718629553,-4.221182031329319,81.25,282,141.39574069531062,16.94408719427215,1.92975664439934,0.5249334945356957
BTC,10000,11.62494230569293,20,10,75,6,2024-01-01,2024-02-01,30min,2025-02-23 22:41:16,5.128665806841041,9.30960848565802,33.49671718629553,-4.221182031329319,81.25,282,141.39574069531062,16.94408719427215,1.92975664439934,0.5249334945356957
BTC,10000,11.62494230569293,20,10,75,6,2024-01-01,2024-02-01,15min,2025-02-23 22:41:27,5.128665806841041,9.30960848565802,33.49671718629553,-4.221182031329319,81.25,282,141.39574069531062,16.94408719427215,1.92975664439934,0.5249334945356957
BTC,10000,11.62494230569293,20,10,75,6,2024-01-01,2024-02-01,5min,2025-02-23 22:41:38,5.128665806841041,9.30960848565802,33.49671718629553,-4.221182031329319,81.25,282,141.39574069531062,16.94408719427215,1.92975664439934,0.5249334945356957
BTC,10000,11.62494230569293,20,10,75,6,2024-01-01,2024-02-01,1min,2025-02-23 22:41:49,5.128665806841041,9.30960848565802,33.49671718629553,-4.221182031329319,81.25,282,141.39574069531062,16.94408719427215,1.92975664439934,0.5249334945356957
ETH,10000,21.911972360472888,20,10,75,6,2024-01-01,2024-02-01,30min,2025-02-23 22:42:01,6.208646716032463,15.185220983022798,74.02098689576529,-2.7892497576911257,68.75,264,206.4630197630713,17.75464753222933,2.2632218133601167,0.5047582379231492
ETH,10000,21.911972360472888,20,10,75,6,2024-01-01,2024-02-01,15min,2025-02-23 22:42:12,6.208646716032463,15.185220983022798,74.02098689576529,-2.7892497576911257,68.75,264,206.4630197630713,17.75464753222933,2.2632218133601167,0.5047582379231492
ETH,10000,21.911972360472888,20,10,75,6,2024-01-01,2024-02-01,5min,2025-02-23 22:42:23,6.208646716032463,15.185220983022798,74.02098689576529,-2.7892497576911257,68.75,264,206.46301976307132,17.75464753222933,2.2632218133601167,0.5047582379231492
ETH,10000,21.911972360472888,20,10,75,6,2024-01-01,2024-02-01,1min,2025-02-23 22:42:34,6.208646716032463,15.185220983022798,74.02098689576529,-2.7892497576911257,68.75,264,206.46301976307134,17.75464753222933,2.2632218133601167,0.5047582379231492
